model prior treeSize rep method collision trueNmus estNmus
s0d100 01 sub250 r01 Cass-greedy 0.07281498073244905 24 28
s0d100 01 sub250 r01 Cass-greedy 0.08088172664770402 41 48
s0d100 01 sub250 r01 Cass-greedy 0.06043714314909277 20 21
s0d100 01 sub250 r01 Cass-greedy 0.093643069452796 17 14
s0d100 01 sub250 r01 Cass-greedy 0.6573781480417507 28 46
s0d100 01 sub250 r01 Cass-greedy 0.06881374304835514 33 33
s0d100 01 sub250 r01 Cass-greedy 0.6302237757872725 12 15
s0d100 01 sub250 r02 Problin 0.7373002754820938 19 20
s0d100 01 sub250 r02 Problin 0.6121810018903592 0 1
s0d100 01 sub250 r02 Problin 1.0 34 37
s0d100 01 sub250 r02 Problin 0.8003525076109598 24 22
s0d100 01 sub250 r02 Problin 0.040868105810249335 29 28
s0d100 01 sub250 r02 Problin 0.11625526802607089 22 22
s0d100 01 sub250 r02 Problin 0.07084745770929712 28 28
s0d100 01 sub250 r02 Problin 0.0923300846928096 33 33
s0d100 01 sub250 r02 Problin 0.6501005458201663 30 28
s0d100 01 sub250 r02 Problin 0.11717390320470354 30 31
s0d100 01 sub250 r02 Problin 0.8936718904979173 10 9
s0d100 01 sub250 r02 Problin 0.6501005458201663 12 12
s0d100 01 sub250 r02 Problin 0.6544421487603302 39 41
s0d100 01 sub250 r02 Problin 0.07435238519555733 33 33
s0d100 01 sub250 r02 Problin 0.8276643990929707 39 38
s0d100 01 sub250 r02 Problin 0.07391235078303943 24 25
s0d100 01 sub250 r02 Problin 0.1408822513476628 32 31
s0d100 01 sub250 r02 Problin 0.506172839506173 28 25
s0d100 01 sub250 r02 Problin 0.1056547619047619 36 33
s0d100 01 sub250 r02 Problin 0.04998488191013573 27 27
s0d100 01 sub250 r02 Problin 0.11375227912395963 46 51
s0d100 01 sub250 r02 Problin 0.0831366916316132 28 31
s0d100 01 sub250 r02 Problin 0.24000000000000007 27 27
s0d100 01 sub250 r02 Problin 0.07281498073244905 18 19
s0d100 01 sub250 r02 Problin 0.08088172664770402 37 36
s0d100 01 sub250 r02 Problin 0.06043714314909277 20 20
s0d100 01 sub250 r02 Problin 0.093643069452796 18 20
s0d100 01 sub250 r02 Problin 0.6573781480417507 31 29
s0d100 01 sub250 r02 Problin 0.06881374304835514 40 38
s0d100 01 sub250 r02 Problin 0.6302237757872725 16 16
s0d100 01 sub250 r02 Startle 0.7373002754820938 19 19
s0d100 01 sub250 r02 Startle 0.6121810018903592 0 1
s0d100 01 sub250 r02 Startle 1.0 34 38
s0d100 01 sub250 r02 Startle 0.8003525076109598 24 21
s0d100 01 sub250 r02 Startle 0.040868105810249335 29 28
s0d100 01 sub250 r02 Startle 0.11625526802607089 22 21
s0d100 01 sub250 r02 Startle 0.07084745770929712 28 28
s0d100 01 sub250 r02 Startle 0.0923300846928096 33 32
s0d100 01 sub250 r02 Startle 0.6501005458201663 30 29
s0d100 01 sub250 r02 Startle 0.11717390320470354 30 29
s0d100 01 sub250 r02 Startle 0.8936718904979173 10 8
s0d100 01 sub250 r02 Startle 0.6501005458201663 12 12
s0d100 01 sub250 r02 Startle 0.6544421487603302 39 35
s0d100 01 sub250 r02 Startle 0.07435238519555733 33 31
s0d100 01 sub250 r02 Startle 0.8276643990929707 39 31
s0d100 01 sub250 r02 Startle 0.07391235078303943 24 24
s0d100 01 sub250 r02 Startle 0.1408822513476628 32 29
s0d100 01 sub250 r02 Startle 0.506172839506173 28 24
s0d100 01 sub250 r02 Startle 0.1056547619047619 36 33
s0d100 01 sub250 r02 Startle 0.04998488191013573 27 27
s0d100 01 sub250 r02 Startle 0.11375227912395963 46 48
s0d100 01 sub250 r02 Startle 0.0831366916316132 28 29
s0d100 01 sub250 r02 Startle 0.24000000000000007 27 26
s0d100 01 sub250 r02 Startle 0.07281498073244905 18 18
s0d100 01 sub250 r02 Startle 0.08088172664770402 37 34
s0d100 01 sub250 r02 Startle 0.06043714314909277 20 19
s0d100 01 sub250 r02 Startle 0.093643069452796 18 17
s0d100 01 sub250 r02 Startle 0.6573781480417507 31 27
s0d100 01 sub250 r02 Startle 0.06881374304835514 40 38
s0d100 01 sub250 r02 Startle 0.6302237757872725 16 15
s0d100 01 sub250 r02 Cass-greedy 0.7373002754820938 19 22
s0d100 01 sub250 r02 Cass-greedy 0.6121810018903592 0 1
s0d100 01 sub250 r02 Cass-greedy 1.0 34 43
s0d100 01 sub250 r02 Cass-greedy 0.8003525076109598 24 29
s0d100 01 sub250 r02 Cass-greedy 0.040868105810249335 29 30
s0d100 01 sub250 r02 Cass-greedy 0.11625526802607089 22 22
s0d100 01 sub250 r02 Cass-greedy 0.07084745770929712 28 31
s0d100 01 sub250 r02 Cass-greedy 0.0923300846928096 33 41
s0d100 01 sub250 r02 Cass-greedy 0.6501005458201663 30 38
s0d100 01 sub250 r02 Cass-greedy 0.11717390320470354 30 32
s0d100 01 sub250 r02 Cass-greedy 0.8936718904979173 10 16
s0d100 01 sub250 r02 Cass-greedy 0.6501005458201663 12 22
s0d100 01 sub250 r02 Cass-greedy 0.6544421487603302 39 50
s0d100 01 sub250 r02 Cass-greedy 0.07435238519555733 33 40
s0d100 01 sub250 r02 Cass-greedy 0.8276643990929707 39 44
s0d100 01 sub250 r02 Cass-greedy 0.07391235078303943 24 27
s0d100 01 sub250 r02 Cass-greedy 0.1408822513476628 32 36
s0d100 01 sub250 r02 Cass-greedy 0.506172839506173 28 28
s0d100 01 sub250 r02 Cass-greedy 0.1056547619047619 36 42
s0d100 01 sub250 r02 Cass-greedy 0.04998488191013573 27 29
s0d100 01 sub250 r02 Cass-greedy 0.11375227912395963 46 51
s0d100 01 sub250 r02 Cass-greedy 0.0831366916316132 28 30
s0d100 01 sub250 r02 Cass-greedy 0.24000000000000007 27 39
s0d100 01 sub250 r02 Cass-greedy 0.07281498073244905 18 23
s0d100 01 sub250 r02 Cass-greedy 0.08088172664770402 37 43
s0d100 01 sub250 r02 Cass-greedy 0.06043714314909277 20 22
s0d100 01 sub250 r02 Cass-greedy 0.093643069452796 18 15
s0d100 01 sub250 r02 Cass-greedy 0.6573781480417507 31 42
s0d100 01 sub250 r02 Cass-greedy 0.06881374304835514 40 44
s0d100 01 sub250 r02 Cass-greedy 0.6302237757872725 16 23
s0d100 01 sub250 r03 Problin 0.7373002754820938 21 21
s0d100 01 sub250 r03 Problin 0.6121810018903592 0 1
s0d100 01 sub250 r03 Problin 1.0 36 35
s0d100 01 sub250 r03 Problin 0.8003525076109598 29 31
s0d100 01 sub250 r03 Problin 0.040868105810249335 31 31
s0d100 01 sub250 r03 Problin 0.11625526802607089 25 23
s0d100 01 sub250 r03 Problin 0.07084745770929712 27 27
s0d100 01 sub250 r03 Problin 0.0923300846928096 34 34
s0d100 01 sub250 r03 Problin 0.6501005458201663 26 28
s0d100 01 sub250 r03 Problin 0.11717390320470354 28 30
s0d100 01 sub250 r03 Problin 0.8936718904979173 11 10
s0d100 01 sub250 r03 Problin 0.6501005458201663 12 14
s0d100 01 sub250 r03 Problin 0.6544421487603302 39 39
s0d100 01 sub250 r03 Problin 0.07435238519555733 36 36
s0d100 01 sub250 r03 Problin 0.8276643990929707 38 37
s0d100 01 sub250 r03 Problin 0.07391235078303943 19 18
s0d100 01 sub250 r03 Problin 0.1408822513476628 39 38
s0d100 01 sub250 r03 Problin 0.506172839506173 35 36
s0d100 01 sub250 r03 Problin 0.1056547619047619 31 30
s0d100 01 sub250 r03 Problin 0.04998488191013573 25 24
s0d100 01 sub250 r03 Problin 0.11375227912395963 52 54
s0d100 01 sub250 r03 Problin 0.0831366916316132 30 35
s0d100 01 sub250 r03 Problin 0.24000000000000007 30 29
s0d100 01 sub250 r03 Problin 0.07281498073244905 20 20
s0d100 01 sub250 r03 Problin 0.08088172664770402 29 32
s0d100 01 sub250 r03 Problin 0.06043714314909277 21 19
s0d100 01 sub250 r03 Problin 0.093643069452796 15 17
s0d100 01 sub250 r03 Problin 0.6573781480417507 28 31
s0d100 01 sub250 r03 Problin 0.06881374304835514 37 37
s0d100 01 sub250 r03 Problin 0.6302237757872725 13 14
s0d100 01 sub250 r03 Startle 0.7373002754820938 21 20
s0d100 01 sub250 r03 Startle 0.6121810018903592 0 1
s0d100 01 sub250 r03 Startle 1.0 36 39
s0d100 01 sub250 r03 Startle 0.8003525076109598 29 27
s0d100 01 sub250 r03 Startle 0.040868105810249335 31 31
s0d100 01 sub250 r03 Startle 0.11625526802607089 25 24
s0d100 01 sub250 r03 Startle 0.07084745770929712 27 28
s0d100 01 sub250 r03 Startle 0.0923300846928096 34 34
s0d100 01 sub250 r03 Startle 0.6501005458201663 26 26
s0d100 01 sub250 r03 Startle 0.11717390320470354 28 28
s0d100 01 sub250 r03 Startle 0.8936718904979173 11 8
