num_chars,alphabet_size,seed_prior,num_cells,seq_prior,algorithm,memory_usage,cpu_usage,runtime
30,100,3,500,4,laml_fastEM_cpu,546708,74.3,260.0
30,100,3,500,5,laml_fastEM_cpu,544976,75.97,296.0
30,100,4,500,1,laml_fastEM_cpu,551884,70.71,254.0
30,100,4,500,2,laml_fastEM_cpu,534300,72.05,262.0
30,100,4,500,3,laml_fastEM_cpu,536232,68.89,254.0
30,100,4,500,4,laml_fastEM_cpu,526.50M,69.74,230.0
30,100,4,500,5,laml_fastEM_cpu,548804,71.88,224.0
30,100,5,500,1,laml_fastEM_cpu,531520,71.41,263.0
30,100,5,500,2,laml_fastEM_cpu,549560,72.66,242.0
30,100,5,500,3,laml_fastEM_cpu,541256,69.23,201.0
30,100,5,500,4,laml_fastEM_cpu,548184,69.48,177.0
30,100,5,500,5,laml_fastEM_cpu,546080,70.32,304.0
30,100,6,500,1,laml_fastEM_cpu,538328,72.18,258.0
30,100,6,500,2,laml_fastEM_cpu,549452,71.92,185.0
30,100,6,500,3,laml_fastEM_cpu,546596,72.19,208.0
30,100,6,500,4,laml_fastEM_cpu,547368,72.44,206.0
30,100,6,500,5,laml_fastEM_cpu,557908,73.13,229.0
30,100,7,500,1,laml_fastEM_cpu,538388,71.28,294.0
30,100,7,500,2,laml_fastEM_cpu,553892,70.98,181.0
30,100,7,500,3,laml_fastEM_cpu,542900,69.48,173.0
30,100,7,500,4,laml_fastEM_cpu,534072,70.81,220.0
30,100,7,500,5,laml_fastEM_cpu,537112,69.13,213.0
30,100,8,500,1,laml_fastEM_cpu,532580,70.75,230.0
30,100,8,500,2,laml_fastEM_cpu,533032,68.27,183.0
30,100,8,500,3,laml_fastEM_cpu,544536,68.58,231.0
30,100,8,500,4,laml_fastEM_cpu,538468,69.32,174.0
30,100,8,500,5,laml_fastEM_cpu,538688,69.1,190.0
30,100,9,500,1,laml_fastEM_cpu,540136,70.23,273.0
30,100,9,500,2,laml_fastEM_cpu,539656,69.64,232.0
30,100,9,500,3,laml_fastEM_cpu,546504,70.01,196.0
30,100,9,500,4,laml_fastEM_cpu,537988,70.57,195.0
30,100,9,500,5,laml_fastEM_cpu,535684,70.16,209.0
30,100,10,500,1,laml_fastEM_cpu,533724,69.9,192.0
30,100,10,500,2,laml_fastEM_cpu,546280,69.66,197.0
30,100,10,500,3,laml_fastEM_cpu,551144,70.84,274.0
30,100,10,500,4,laml_fastEM_cpu,538872,70.89,213.0
30,100,10,500,5,laml_fastEM_cpu,551548,68.92,226.0
30,100,2,500,2,laml_fastEM_gpu,36252418.048,72.0,15314.14
30,30,6,250,4,laml_fastEM_gpu,,,3921.06
30,100,1,250,5,laml_fastEM_gpu,36248223.744,67.0,4085.29
30,30,3,250,4,laml_fastEM_gpu,,,3659.88
30,30,8,250,1,laml_fastEM_gpu,,,9132.88
30,30,1,500,2,laml_fastEM_gpu,36252418.048,75.0,16798.22
30,30,4,250,2,laml_fastEM_gpu,,,5112.99
30,30,3,250,1,laml_fastEM_gpu,,,4456.07
30,100,2,250,2,laml_fastEM_gpu,36248223.744,69.0,3814.73
30,100,2,250,1,laml_fastEM_gpu,,,5281.24
30,30,2,1000,1,laml_fastEM_gpu,36250320.896,57.0,37898.26
30,30,2,500,3,laml_fastEM_gpu,36252418.048,71.0,17857.18
30,30,2,1000,2,laml_fastEM_gpu,36252418.048,54.0,31461.21
30,100,6,250,4,laml_fastEM_gpu,,,4434.97
30,100,3,250,5,laml_fastEM_gpu,,,4096.89
30,30,8,250,5,laml_fastEM_gpu,,,5279.37
30,100,5,250,3,laml_fastEM_gpu,,,4651.06
30,30,2,1000,4,laml_fastEM_gpu,36252418.048,71.0,35513.63
30,30,9,250,2,laml_fastEM_gpu,,,4236.43
30,30,9,250,1,laml_fastEM_gpu,,,5676.55
30,30,7,250,4,laml_fastEM_gpu,,,6929.03
30,100,2,1000,2,laml_fastEM_gpu,36252418.048,71.0,34923.06
30,100,2,1000,4,laml_fastEM_gpu,36252418.048,70.0,32793.55
30,30,1,250,1,laml_fastEM_gpu,36248223.744,73.0,1841.51
30,100,1,500,1,laml_fastEM_gpu,36252418.048,70.0,15435.02
30,100,10,250,3,laml_fastEM_gpu,,,5189.47
30,100,5,250,1,laml_fastEM_gpu,,,6342.15
30,100,10,250,1,laml_fastEM_gpu,,,7038.77
30,30,2,500,1,laml_fastEM_gpu,36252418.048,76.0,29594.77
30,100,9,250,5,laml_fastEM_gpu,,,4406.44
30,100,9,250,3,laml_fastEM_gpu,,,3805.56
30,30,6,250,2,laml_fastEM_gpu,,,9937.04
30,100,5,250,4,laml_fastEM_gpu,,,4758.68
30,30,2,500,2,laml_fastEM_gpu,36252418.048,71.0,16249.98
30,100,1,5000,4,laml_fastEM_gpu,36252418.048,88.0,151231.17
30,30,1,1000,4,laml_fastEM_gpu,36252418.048,71.0,26658.42
30,30,8,250,2,laml_fastEM_gpu,,,8010.98
30,30,6,250,5,laml_fastEM_gpu,,,3611.69
30,30,2,250,4,laml_fastEM_gpu,36248223.744,68.0,3581.91
30,30,3,250,3,laml_fastEM_gpu,,,4349.69
30,100,8,250,3,laml_fastEM_gpu,,,8279.92
30,100,3,250,2,laml_fastEM_gpu,,,8222.45
30,100,3,250,4,laml_fastEM_gpu,,,8405.83
30,30,1,500,5,laml_fastEM_gpu,36252418.048,56.0,11306.53
30,100,1,500,5,laml_fastEM_gpu,36252418.048,74.0,14292.1
30,30,4,250,5,laml_fastEM_gpu,,,8929.76
30,100,3,250,1,laml_fastEM_gpu,,,5782.35
30,30,5,250,3,laml_fastEM_gpu,,,8271.37
30,100,3,250,3,laml_fastEM_gpu,,,8178.88
30,30,5,250,1,laml_fastEM_gpu,,,6089.15
30,30,10,250,2,laml_fastEM_gpu,,,5829.39
30,100,1,1000,2,laml_fastEM_gpu,36246126.592,56.0,32538.69
30,30,2,250,2,laml_fastEM_gpu,36248223.744,69.0,5208.39
30,30,10,250,4,laml_fastEM_gpu,,,6230.61
30,30,2,500,5,laml_fastEM_gpu,36252418.048,73.0,13293.31
30,100,2,500,3,laml_fastEM_gpu,36252418.048,55.0,14456.37
30,30,1,1000,1,laml_fastEM_gpu,36252418.048,55.0,30009.02
30,30,7,250,2,laml_fastEM_gpu,,,3728.67
30,100,4,250,3,laml_fastEM_gpu,,,6582.95
30,30,5,250,4,laml_fastEM_gpu,,,5304.38
30,100,1,1000,4,laml_fastEM_gpu,36252418.048,56.0,30232.88
30,100,1,5000,3,laml_fastEM_gpu,36252418.048,91.0,164824.0
30,30,1,250,4,laml_fastEM_gpu,36248223.744,70.0,4341.6
30,100,6,250,5,laml_fastEM_gpu,,,6594.85
30,100,4,250,4,laml_fastEM_gpu,,,5071.47
30,30,7,250,5,laml_fastEM_gpu,,,5069.12
30,100,7,250,3,laml_fastEM_gpu,,,5464.74
30,100,4,250,2,laml_fastEM_gpu,,,5971.9
30,30,4,250,3,laml_fastEM_gpu,,,4757.63
30,100,1,250,2,laml_fastEM_gpu,36248223.744,55.0,3307.59
30,100,1,250,1,laml_fastEM_gpu,36248223.744,53.0,2776.63
30,100,4,250,1,laml_fastEM_gpu,,,6957.18
30,30,9,250,3,laml_fastEM_gpu,,,7756.22
30,30,7,250,1,laml_fastEM_gpu,,,5379.58
30,100,5,250,2,laml_fastEM_gpu,,,5297.08
30,100,1,500,3,laml_fastEM_gpu,36250320.896,70.0,14138.68
30,30,2,1000,3,laml_fastEM_gpu,36250320.896,70.0,26969.29
30,30,1,500,1,laml_fastEM_gpu,36252418.048,70.0,12473.16
30,30,1,1000,2,laml_fastEM_gpu,36252418.048,73.0,32578.9
30,30,7,250,3,laml_fastEM_gpu,,,4919.03
30,30,8,250,4,laml_fastEM_gpu,,,4797.44
30,100,2,500,4,laml_fastEM_gpu,36252418.048,58.0,13574.0
30,30,10,250,3,laml_fastEM_gpu,,,3057.49
30,100,9,250,2,laml_fastEM_gpu,,,7565.41
30,100,2,250,5,laml_fastEM_gpu,36248223.744,50.0,5230.54
30,100,9,250,4,laml_fastEM_gpu,,,4464.35
30,30,9,250,5,laml_fastEM_gpu,,,5178.95
30,100,1,1000,5,laml_fastEM_gpu,36252418.048,71.0,33844.48
30,30,2,1000,5,laml_fastEM_gpu,36252418.048,55.0,31258.47
30,100,8,250,1,laml_fastEM_gpu,,,5296.87
30,30,1,250,5,laml_fastEM_gpu,36248223.744,70.0,2061.81
30,30,2,250,5,laml_fastEM_gpu,36248223.744,68.0,7666.91
30,30,1,500,4,laml_fastEM_gpu,36250320.896,75.0,15037.43
30,30,3,250,2,laml_fastEM_gpu,,,8459.32
30,100,6,250,3,laml_fastEM_gpu,,,3350.19
30,100,7,250,4,laml_fastEM_gpu,,,5422.68
30,100,1,5000,1,laml_fastEM_gpu,36252418.048,88.0,168955.53
30,30,6,250,3,laml_fastEM_gpu,,,5368.69
30,30,4,250,4,laml_fastEM_gpu,,,5762.35
30,100,2,1000,3,laml_fastEM_gpu,36252418.048,56.0,28853.43
30,30,8,250,3,laml_fastEM_gpu,,,8068.49
30,100,6,250,1,laml_fastEM_gpu,,,7531.79
30,100,10,250,4,laml_fastEM_gpu,,,6617.95
30,30,6,250,1,laml_fastEM_gpu,,,4374.71
30,100,10,250,2,laml_fastEM_gpu,,,4615.09
30,100,2,500,1,laml_fastEM_gpu,36252418.048,79.0,13024.72
30,30,10,250,1,laml_fastEM_gpu,,,4363.95
30,30,9,250,4,laml_fastEM_gpu,,,6062.71
30,100,8,250,2,laml_fastEM_gpu,,,4833.85
30,100,1,250,3,laml_fastEM_gpu,36248223.744,75.0,6391.43
30,100,2,250,3,laml_fastEM_gpu,36248223.744,70.0,6095.05
30,30,1,500,3,laml_fastEM_gpu,36250320.896,57.0,12375.94
30,100,1,500,2,laml_fastEM_gpu,36250320.896,63.0,18263.43
30,100,1,1000,1,laml_fastEM_gpu,36252418.048,63.0,34445.76
30,30,10,250,5,laml_fastEM_gpu,,,9120.71
30,30,4,250,1,laml_fastEM_gpu,,,7850.78
30,100,2,250,4,laml_fastEM_gpu,36248223.744,50.0,4486.82
