true_nu,true_phi,prioridx,rep,startle_phi,startle_nu,cassg_phi,cassg_nu,truetopo_phi,truetopo_nu,problin_nu,problin_phi,nj_nu,nj_phi,true_llh,startle_NLLH,cassg_NLLH,truetopo_NLLH,problin_NLLH,nj_NLLH,startle_wp,cassg_wp,truetopo_wp,problin_wp,nj_wp,startle_rf,cassg_rf,problin_rf,nj_rf,norm_startle_wp,norm_cassg_wp,norm_truetopo_wp,norm_problin_wp,norm_nj_wp
s25,75,03,r04, 0.20654575078551085, 0.07823489094473621, 0.20275019709352574, 0.08937892756233282, 0.20348379184439636, 0.08063458265224197, 0.0840933982003222, 0.20204251236427637, 0.08492432125993529, 0.20357661418868894,7958.098938238478, 7834.817185778312, 8470.459225669556, 7826.2382661179445, 7804.003562474176, 8028.872927732857,1769.2114800548113,2126.2010249940713,1785.7266515266524,1774.439448633465,1833.9375373027508, 0.299107, 0.651613, 0.251012, 0.450111,1769.2114800548113,2126.2010249940713,1785.7266515266524,1774.439448633465,1833.9375373027508
s25,75,03,r05, 0.1953052331542552, 0.08104411206775951, 0.18972097909425695, 0.09192891488103402, 0.1943143689935228, 0.0764217074773773, 0.07674482316099841, 0.19490102948206037, 0.07755755003084128, 0.19666636793732964,7998.593899997024, 7908.8643556782445, 8505.825422518345, 7870.7825929720375, 7879.731824325713, 8134.291375898825,1846.442936664421,2227.3850688301386,1855.6920717045457,1852.0669871578882,1930.9535486011803, 0.344978, 0.625272, 0.299595, 0.465217,1846.442936664421,2227.3850688301386,1855.6920717045457,1852.0669871578882,1930.9535486011803
s25,75,04,r01, 0.20105735975607616, 0.06793277139290393, 0.19692730003341577, 0.07760680313658525, 0.19898040702527567, 0.0659463783038349, 0.07219535380566437, 0.19726530698310754, 0.06616386337367737, 0.2017954258027804,7784.560277729391, 7721.484371877195, 8330.000311539736, 7640.654535246755, 7675.932337291723, 7835.050792231484,1659.6358012075825,1988.7301611178377,1643.445614234711,1665.1100795359982,1688.3099286787192, 0.365639, 0.678414, 0.344130, 0.449210,1659.6358012075825,1988.7301611178377,1643.445614234711,1665.1100795359982,1688.3099286787192
s25,75,04,r02, 0.20198343313016165, 0.0531494641354423, 0.1940525180053017, 0.07139488679819475, 0.19787452439311562, 0.05573610834856807, 0.05514563815865548, 0.19849944001582712, 0.06018866048324235, 0.20022649961785646,7828.950182505002, 7723.377597665502, 8260.082940610184, 7687.869229375985, 7676.311978808105, 7958.989353972321,1666.1638247216736,2011.2258236442262,1699.2695713273058,1674.5146881536411,1748.6653241495196, 0.420935, 0.674725, 0.299595, 0.536036,1666.1638247216736,2011.2258236442262,1699.2695713273058,1674.5146881536411,1748.6653241495196
s25,75,04,r03, 0.1987678821380158, 0.058256631405732874, 0.19323837262957191, 0.07494788453245496, 0.19692826526094034, 0.05800678925886542, 0.055435231099323516, 0.19738807185885532, 0.06970020112503476, 0.19557185920145792,7810.400737738946, 7699.669237745707, 8532.68421138314, 7677.926049517737, 7664.6685643168585, 7970.066563744082,1658.4923974725746,2107.559830053124,1673.0954334294954,1667.698729336086,1744.7061347192425, 0.370690, 0.771930, 0.344130, 0.498881,1658.4923974725746,2107.559830053124,1673.0954334294954,1667.698729336086,1744.7061347192425
s25,75,04,r04, 0.1988418352732324, 0.05873448685779913, 0.19736157454935965, 0.06422076426081386, 0.19743242390337726, 0.056494895810425744, 0.05336126799144723, 0.19781638788891828, 0.07050786991463717, 0.19662541779592732,7772.082276475992, 7696.464752102915, 8578.802988488389, 7640.558370313525, 7648.846689974, 7914.959186970473,1670.7462247696726,2172.776416204868,1665.226175261651,1676.5730712668596,1752.2181168201348, 0.359477, 0.731020, 0.295547, 0.444444,1670.7462247696726,2172.776416204868,1665.226175261651,1676.5730712668596,1752.2181168201348
s25,75,04,r05, 0.19549358571125008, 0.06927605125578236, 0.1969426451108433, 0.06561670282870859, 0.19530035513793143, 0.06123310000633656, 0.06414094061943229, 0.19475327318501084, 0.08215473198534701, 0.19169791807610392,7826.035023971479, 7793.856789520415, 8476.821538883785, 7701.000901788188, 7742.627268209556, 7931.090240775208,1727.8265358676808,2091.6261193829537,1717.179729950051,1733.638827804125,1782.0808188599665, 0.377483, 0.751663, 0.307692, 0.463964,1727.8265358676808,2091.6261193829537,1717.179729950051,1733.638827804125,1782.0808188599665
s25,75,05,r01, 0.19441940794919485, 0.06444144766818713, 0.18730386064332138, 0.084921605730659, 0.18841112486566536, 0.07334900786247397, 0.07592647835544712, 0.18724946861100558, 0.09021485361281223, 0.18507615686035767,6946.839856713599, 6914.787747402979, 7434.689069993417, 6827.978056865424, 6844.93003404715, 7222.022446285597,1122.062532070271,1363.909415886046,1123.8394236363656,1133.3175549048576,1199.1967650415895, 0.526549, 0.802752, 0.445344, 0.683721,1122.062532070271,1363.909415886046,1123.8394236363656,1133.3175549048576,1199.1967650415895
s25,75,05,r02, 0.20086319720932214, 0.06422079046785996, 0.19140535461556124, 0.08351610248959859, 0.19991296389208663, 0.05686060455348057, 0.06527496591237472, 0.19787138931051598, 0.08080532960607988, 0.19401174193430487,6862.088609585813, 6826.9235895889815, 7098.535434271224, 6737.957515737612, 6746.9789518750995, 7105.259966448503,1036.1910834108694,1170.3409161963677,1036.9238333894455,1031.4771627930972,1139.395684101722, 0.495614, 0.680710, 0.372470, 0.635535,1036.1910834108694,1170.3409161963677,1036.9238333894455,1031.4771627930972,1139.395684101722
s25,75,05,r03, 0.20392550023246087, 0.05996449228881661, 0.1979883354840143, 0.07821476287014448, 0.2014133107764963, 0.05736314902198301, 0.053822604745862694, 0.20277681956958812, 0.06272870259746054, 0.2026503184255056,6946.6943991609605, 6909.035811305905, 7375.401128770714, 6818.1465958564995, 6828.631975486496, 7200.433593365408,1079.820413205553,1274.5131251116527,1080.1761620277089,1078.8261810459805,1154.114876184998, 0.553047, 0.732456, 0.433198, 0.640091,1079.820413205553,1274.5131251116527,1080.1761620277089,1078.8261810459805,1154.114876184998
