Sample,TotalSeconds
s75d25p06_sub250_r04,
s75d25p06_sub250_r05,13516.77
s75d25p07_sub250_r01,
s75d25p07_sub250_r02,
s75d25p07_sub250_r03,
s75d25p07_sub250_r04,
s75d25p07_sub250_r05,
s75d25p08_sub250_r01,
s75d25p08_sub250_r02,
s75d25p08_sub250_r03,
s75d25p08_sub250_r04,
s75d25p08_sub250_r05,
s75d25p09_sub250_r01,
s75d25p09_sub250_r02,
s75d25p09_sub250_r03,
s75d25p09_sub250_r04,
s75d25p09_sub250_r05,
s75d25p10_sub250_r01,
s75d25p10_sub250_r02,
s75d25p10_sub250_r03,
s75d25p10_sub250_r04,
s75d25p10_sub250_r05,
