Method,Sample,Runtime,TotalSeconds
cassgreedy,s100d0p10_sub250_r01,1m11.840s,71.84
cassgreedy,s100d0p10_sub250_r02,1m11.840s,71.84
cassgreedy,s100d0p10_sub250_r03,1m11.840s,71.84
cassgreedy,s100d0p10_sub250_r04,1m11.840s,71.84
scmail,s0d100p01_sub250_r01,122m16.331s,7336.33
scmail,s0d100p02_sub250_r05,107m39.419s,6459.42
scmail,s100d0p10_sub250_r05,71m56.788s,4316.79
scmail,s25d75p01_sub250_r01,201m41.680s,12101.7
scmail,s25d75p01_sub250_r02,30m40.173s,1840.17
scmail,s25d75p01_sub250_r03,83m45.556s,5025.56
scmail,s25d75p01_sub250_r04,64m46.318s,3886.32
scmail,s25d75p01_sub250_r05,42m40.518s,2560.52
scmail,s25d75p02_sub250_r01,32m23.871s,1943.87
scmail,s25d75p02_sub250_r02,71m14.369s,4274.37
scmail,s25d75p02_sub250_r03,53m33.571s,3213.57
scmail,s25d75p02_sub250_r04,36m9.612s,2169.61
scmail,s0d100p03_sub250_r01,126m26.327s,7586.33
scmail,s25d75p02_sub250_r05,73m17.207s,4397.21
scmail,s25d75p03_sub250_r01,107m35.534s,6455.53
scmail,s25d75p03_sub250_r02,158m28.221s,9508.22
scmail,s25d75p03_sub250_r03,139m10.224s,8350.22
scmail,s25d75p03_sub250_r04,36m31.752s,2191.75
scmail,s25d75p03_sub250_r05,150m33.483s,9033.48
scmail,s25d75p04_sub250_r01,189m32.631s,11372.6
scmail,s25d75p04_sub250_r02,95m58.650s,5758.65
scmail,s25d75p04_sub250_r03,61m53.990s,3713.99
scmail,s25d75p04_sub250_r04,175m42.772s,10542.8
scmail,s0d100p03_sub250_r02,112m49.658s,6769.66
scmail,s25d75p04_sub250_r05,73m4.469s,4384.47
scmail,s25d75p05_sub250_r01,41m12.067s,2472.07
scmail,s25d75p05_sub250_r02,53m28.503s,3208.5
scmail,s25d75p05_sub250_r03,87m44.678s,5264.68
scmail,s25d75p05_sub250_r04,140m20.308s,8420.31
scmail,s25d75p05_sub250_r05,90m14.425s,5414.43
scmail,s25d75p06_sub250_r01,94m14.443s,5654.44
scmail,s25d75p06_sub250_r02,65m57.827s,3957.83
scmail,s25d75p06_sub250_r03,27m22.638s,1642.64
scmail,s25d75p06_sub250_r04,48m57.133s,2937.13
scmail,s0d100p03_sub250_r03,38m0.552s,2280.55
scmail,s25d75p06_sub250_r05,84m58.290s,5098.29
scmail,s25d75p07_sub250_r01,58m34.359s,3514.36
scmail,s25d75p07_sub250_r02,138m39.874s,8319.87
scmail,s25d75p07_sub250_r03,38m5.016s,2285.02
scmail,s25d75p07_sub250_r04,86m10.754s,5170.75
scmail,s25d75p07_sub250_r05,88m23.122s,5303.12
scmail,s25d75p08_sub250_r01,114m11.976s,6851.98
scmail,s25d75p08_sub250_r02,131m44.255s,7904.26
scmail,s25d75p08_sub250_r03,146m54.855s,8814.85
scmail,s25d75p08_sub250_r04,126m58.965s,7618.97
scmail,s0d100p03_sub250_r04,78m5.646s,4685.65
scmail,s25d75p08_sub250_r05,157m52.766s,9472.77
scmail,s25d75p09_sub250_r01,63m3.039s,3783.04
scmail,s25d75p09_sub250_r02,35m56.994s,2156.99
scmail,s25d75p09_sub250_r03,197m40.386s,11860.4
scmail,s25d75p09_sub250_r04,115m7.646s,6907.65
scmail,s25d75p09_sub250_r05,194m6.218s,11646.2
scmail,s25d75p10_sub250_r01,90m58.633s,5458.63
scmail,s25d75p10_sub250_r02,183m23.007s,11003
scmail,s25d75p10_sub250_r03,69m51.675s,4191.68
scmail,s25d75p10_sub250_r04,176m38.024s,10598
scmail,s0d100p03_sub250_r05,102m5.200s,6125.2
scmail,s25d75p10_sub250_r05,129m48.514s,7788.51
scmail,s50d50p01_sub250_r01,38m46.596s,2326.6
scmail,s50d50p01_sub250_r02,86m35.761s,5195.76
scmail,s50d50p01_sub250_r03,68m59.223s,4139.22
scmail,s50d50p01_sub250_r04,52m42.796s,3162.8
scmail,s50d50p01_sub250_r05,34m24.439s,2064.44
scmail,s50d50p02_sub250_r01,61m39.354s,3699.35
scmail,s50d50p02_sub250_r02,116m10.243s,6970.24
scmail,s50d50p02_sub250_r03,51m28.162s,3088.16
scmail,s50d50p02_sub250_r04,166m19.394s,9979.39
scmail,s0d100p04_sub250_r01,220m14.528s,13214.5
scmail,s50d50p02_sub250_r05,65m15.823s,3915.82
scmail,s50d50p03_sub250_r01,178m25.968s,10706
scmail,s50d50p03_sub250_r02,69m44.548s,4184.55
scmail,s50d50p03_sub250_r03,63m9.720s,3789.72
scmail,s50d50p03_sub250_r04,75m51.191s,4551.19
scmail,s50d50p03_sub250_r05,50m38.682s,3038.68
scmail,s50d50p04_sub250_r01,125m47.206s,7547.21
scmail,s50d50p04_sub250_r02,141m12.842s,8472.84
scmail,s50d50p04_sub250_r03,26m14.073s,1574.07
scmail,s50d50p04_sub250_r04,61m27.035s,3687.03
scmail,s0d100p04_sub250_r02,297m38.863s,17858.9
scmail,s50d50p04_sub250_r05,64m26.757s,3866.76
scmail,s50d50p05_sub250_r01,141m54.167s,8514.17
scmail,s50d50p05_sub250_r02,118m2.296s,7082.3
scmail,s50d50p05_sub250_r03,99m58.343s,5998.34
scmail,s50d50p05_sub250_r04,86m22.924s,5182.92
scmail,s50d50p05_sub250_r05,100m35.903s,6035.9
scmail,s50d50p06_sub250_r01,150m17.096s,9017.1
scmail,s50d50p06_sub250_r02,172m22.985s,10343
scmail,s50d50p06_sub250_r03,141m48.773s,8508.77
scmail,s50d50p06_sub250_r04,160m32.034s,9632.03
scmail,s0d100p04_sub250_r03,82m21.591s,4941.59
scmail,s50d50p06_sub250_r05,50m6.234s,3006.23
scmail,s50d50p07_sub250_r01,83m26.620s,5006.62
scmail,s50d50p07_sub250_r02,105m17.663s,6317.66
scmail,s50d50p07_sub250_r03,80m14.697s,4814.7
scmail,s50d50p07_sub250_r04,30m5.571s,1805.57
scmail,s50d50p07_sub250_r05,100m20.734s,6020.73
scmail,s50d50p08_sub250_r01,147m17.501s,8837.5
scmail,s50d50p08_sub250_r02,107m0.523s,6420.52
scmail,s50d50p08_sub250_r03,88m50.641s,5330.64
scmail,s50d50p08_sub250_r04,100m15.145s,6015.15
scmail,s0d100p04_sub250_r04,134m34.175s,8074.18
scmail,s50d50p08_sub250_r05,36m16.993s,2176.99
scmail,s50d50p09_sub250_r01,94m34.426s,5674.43
scmail,s50d50p09_sub250_r02,20m8.848s,1208.85
scmail,s50d50p09_sub250_r03,140m7.000s,8407
scmail,s50d50p09_sub250_r04,194m9.817s,11649.8
scmail,s50d50p09_sub250_r05,162m18.271s,9738.27
scmail,s50d50p10_sub250_r01,26m13.891s,1573.89
scmail,s50d50p10_sub250_r02,99m52.493s,5992.49
scmail,s50d50p10_sub250_r03,67m27.901s,4047.9
scmail,s50d50p10_sub250_r04,132m21.684s,7941.68
scmail,s0d100p01_sub250_r02,74m12.141s,4452.14
scmail,s0d100p04_sub250_r05,207m21.880s,12441.9
scmail,s50d50p10_sub250_r05,110m9.243s,6609.24
scmail,s75d25p01_sub250_r01,158m23.156s,9503.16
scmail,s75d25p01_sub250_r02,208m8.530s,12488.5
scmail,s75d25p01_sub250_r03,122m55.673s,7375.67
scmail,s75d25p01_sub250_r04,85m9.961s,5109.96
scmail,s75d25p01_sub250_r05,177m48.003s,10668
scmail,s75d25p02_sub250_r01,102m25.690s,6145.69
scmail,s75d25p02_sub250_r02,81m6.257s,4866.26
scmail,s75d25p02_sub250_r03,68m45.798s,4125.8
scmail,s75d25p02_sub250_r04,239m24.169s,14364.2
scmail,s0d100p05_sub250_r01,222m18.820s,13338.8
scmail,s75d25p02_sub250_r05,55m11.342s,3311.34
