m_prop,p_rep,rep,modelcond,method,rf
m50,02,01,s50d50,casshybrid,NA
m50,02,01,s50d50,startle,0.850202
m50,02,01,s50d50,laml,0.828283
m50,02,02,s50d50,cassgreedy,0.954071
m50,02,02,s50d50,casshybrid,NA
m50,02,02,s50d50,startle,0.878543
m50,02,02,s50d50,laml,0.876768
m50,02,03,s50d50,cassgreedy,0.924051
m50,02,03,s50d50,casshybrid,NA
m50,02,03,s50d50,startle,0.825911
m50,02,03,s50d50,laml,0.816162
m50,02,04,s50d50,cassgreedy,0.876858
m50,02,04,s50d50,casshybrid,NA
m50,02,04,s50d50,startle,0.834008
m50,02,04,s50d50,laml,0.828283
m50,02,05,s50d50,cassgreedy,0.920502
m50,02,05,s50d50,casshybrid,NA
m50,02,05,s50d50,startle,0.773279
m50,02,05,s50d50,laml,0.771717
m50,03,01,s50d50,cassgreedy,0.860465
m50,03,01,s50d50,casshybrid,NA
m50,03,01,s50d50,startle,0.761134
m50,03,01,s50d50,laml,0.731313
m50,03,02,s50d50,cassgreedy,0.858038
m50,03,02,s50d50,casshybrid,NA
m50,03,02,s50d50,startle,0.761134
m50,03,02,s50d50,laml,0.690909
m50,03,03,s50d50,cassgreedy,0.881857
m50,03,03,s50d50,casshybrid,NA
m50,03,03,s50d50,startle,0.813765
m50,03,03,s50d50,laml,0.800000
m50,03,04,s50d50,cassgreedy,0.916667
m50,03,04,s50d50,casshybrid,NA
m50,03,04,s50d50,startle,0.769231
m50,03,04,s50d50,laml,0.735354
m50,03,05,s50d50,cassgreedy,0.890526
m50,03,05,s50d50,casshybrid,NA
m50,03,05,s50d50,startle,0.825911
m50,03,05,s50d50,laml,0.808081
m50,04,01,s50d50,cassgreedy,0.924528
m50,04,01,s50d50,casshybrid,NA
m50,04,01,s50d50,startle,0.886640
m50,04,01,s50d50,laml,0.864646
m50,04,02,s50d50,cassgreedy,0.902954
m50,04,02,s50d50,casshybrid,NA
m50,04,02,s50d50,startle,0.870445
m50,04,02,s50d50,laml,0.812121
m50,04,03,s50d50,cassgreedy,0.909483
m50,04,03,s50d50,casshybrid,NA
m50,04,03,s50d50,startle,0.898785
m50,04,03,s50d50,laml,0.848485
m50,04,04,s50d50,cassgreedy,0.940678
m50,04,04,s50d50,casshybrid,NA
m50,04,04,s50d50,startle,0.898785
m50,04,04,s50d50,laml,0.888889
m50,04,05,s50d50,cassgreedy,0.887931
m50,04,05,s50d50,casshybrid,NA
m50,04,05,s50d50,startle,0.838057
m50,04,05,s50d50,laml,0.832323
m50,05,01,s50d50,cassgreedy,0.923077
m50,05,01,s50d50,casshybrid,NA
m50,05,01,s50d50,startle,0.761134
m50,05,01,s50d50,laml,0.743434
m50,05,02,s50d50,cassgreedy,0.866944
m50,05,02,s50d50,casshybrid,NA
m50,05,02,s50d50,startle,0.809717
m50,05,02,s50d50,laml,0.751515
m50,05,03,s50d50,cassgreedy,0.864979
m50,05,03,s50d50,casshybrid,NA
m50,05,03,s50d50,startle,0.797571
m50,05,03,s50d50,laml,0.747475
m50,05,04,s50d50,cassgreedy,0.890295
m50,05,04,s50d50,casshybrid,NA
m50,05,04,s50d50,startle,0.797571
m50,05,04,s50d50,laml,0.759596
m50,05,05,s50d50,cassgreedy,0.877119
m50,05,05,s50d50,casshybrid,NA
m50,05,05,s50d50,startle,0.769231
m50,05,05,s50d50,laml,0.771717
m50,06,01,s50d50,cassgreedy,0.910638
m50,06,01,s50d50,casshybrid,NA
m50,06,01,s50d50,startle,0.773279
m50,06,01,s50d50,laml,0.723232
m50,06,02,s50d50,cassgreedy,0.906183
m50,06,02,s50d50,casshybrid,NA
m50,06,02,s50d50,startle,0.761134
m50,06,02,s50d50,laml,0.747475
m50,06,03,s50d50,cassgreedy,0.919149
m50,06,03,s50d50,casshybrid,NA
m50,06,03,s50d50,startle,0.777328
m50,06,03,s50d50,laml,0.775758
m50,06,04,s50d50,cassgreedy,0.895616
m50,06,04,s50d50,casshybrid,NA
m50,06,04,s50d50,startle,0.748988
m50,06,04,s50d50,laml,0.719192
m50,06,05,s50d50,cassgreedy,0.910064
m50,06,05,s50d50,casshybrid,NA
m50,06,05,s50d50,startle,0.801619
m50,06,05,s50d50,laml,0.791919
m50,07,01,s50d50,cassgreedy,0.843552
m50,07,01,s50d50,casshybrid,NA
m50,07,01,s50d50,startle,0.753036
m50,07,01,s50d50,laml,0.739394
m50,07,02,s50d50,cassgreedy,0.883333
m50,07,02,s50d50,casshybrid,NA
m50,07,02,s50d50,startle,0.740891
m50,07,02,s50d50,laml,0.715152
m50,07,03,s50d50,cassgreedy,0.898734
m50,07,03,s50d50,casshybrid,NA
m50,07,03,s50d50,startle,0.789474
m50,07,03,s50d50,laml,0.731313
m50,07,04,s50d50,cassgreedy,0.904167
m50,07,04,s50d50,casshybrid,NA
m50,07,04,s50d50,startle,0.781377
m50,07,04,s50d50,laml,0.767677
m50,07,05,s50d50,cassgreedy,0.838983
m50,07,05,s50d50,casshybrid,NA
m50,07,05,s50d50,startle,0.765182
m50,07,05,s50d50,laml,0.755556
m50,08,01,s50d50,cassgreedy,0.902748
m50,08,01,s50d50,casshybrid,NA
m50,08,01,s50d50,startle,0.894737
m50,08,01,s50d50,laml,0.888889
m50,08,02,s50d50,cassgreedy,0.892473
m50,08,02,s50d50,casshybrid,NA
m50,08,02,s50d50,startle,0.862348
m50,08,02,s50d50,laml,0.844444
m50,08,03,s50d50,cassgreedy,0.908142
m50,08,03,s50d50,casshybrid,NA
m50,08,03,s50d50,startle,0.821862
m50,08,03,s50d50,laml,0.820202
m50,08,04,s50d50,cassgreedy,0.927813
m50,08,04,s50d50,casshybrid,NA
m50,08,04,s50d50,startle,0.825911
m50,08,04,s50d50,laml,0.820202
m50,08,05,s50d50,cassgreedy,0.919321
m50,08,05,s50d50,casshybrid,NA
m50,08,05,s50d50,startle,0.838057
m50,08,05,s50d50,laml,0.832323
m50,09,01,s50d50,cassgreedy,0.931478
m50,09,01,s50d50,casshybrid,NA
m50,09,01,s50d50,startle,0.914980
m50,09,01,s50d50,laml,0.909091
m50,09,02,s50d50,cassgreedy,0.944915
m50,09,02,s50d50,casshybrid,NA
m50,09,02,s50d50,startle,0.910931
m50,09,02,s50d50,laml,0.909091
m50,09,03,s50d50,cassgreedy,0.974576
m50,09,03,s50d50,casshybrid,NA
m50,09,03,s50d50,startle,0.914980
m50,09,03,s50d50,laml,0.909091
m50,09,04,s50d50,cassgreedy,0.910638
m50,09,04,s50d50,casshybrid,NA
m50,09,04,s50d50,startle,0.886640
m50,09,04,s50d50,laml,0.884848
m50,09,05,s50d50,cassgreedy,0.939785
m50,09,05,s50d50,casshybrid,NA
m50,09,05,s50d50,startle,0.919028
m50,09,05,s50d50,laml,0.913131
m50,10,01,s50d50,cassgreedy,0.890295
m50,10,01,s50d50,casshybrid,NA
m50,10,01,s50d50,startle,0.825911
m50,10,01,s50d50,laml,0.820202
m50,10,02,s50d50,cassgreedy,0.914712
m50,10,02,s50d50,casshybrid,NA
m50,10,02,s50d50,startle,0.882591
m50,10,02,s50d50,laml,0.880808
m50,10,03,s50d50,cassgreedy,0.941300
m50,10,03,s50d50,casshybrid,NA
m50,10,03,s50d50,startle,0.898785
m50,10,03,s50d50,laml,0.892929
m50,10,04,s50d50,cassgreedy,0.885593
m50,10,04,s50d50,casshybrid,NA
m50,10,04,s50d50,startle,0.850202
m50,10,04,s50d50,laml,0.844444
m50,10,05,s50d50,cassgreedy,0.928270
m50,10,05,s50d50,casshybrid,NA
m50,10,05,s50d50,startle,0.858300
m50,10,05,s50d50,laml,0.848485
m75,01,01,s50d50,cassgreedy,0.965217
m75,01,01,s50d50,casshybrid,NA
m75,01,01,s50d50,startle,0.975709
m75,01,01,s50d50,laml,0.969697
m75,01,02,s50d50,cassgreedy,0.949153
m75,01,02,s50d50,casshybrid,NA
m75,01,02,s50d50,startle,0.963563
m75,01,02,s50d50,laml,0.961616
m75,01,03,s50d50,cassgreedy,0.964989
m75,01,03,s50d50,casshybrid,NA
m75,01,03,s50d50,startle,0.975709
m75,01,03,s50d50,laml,0.969697
m75,01,04,s50d50,cassgreedy,0.961039
m75,01,04,s50d50,casshybrid,NA
m75,01,04,s50d50,startle,0.943320
m75,01,04,s50d50,laml,0.937374
m75,01,05,s50d50,cassgreedy,0.987234
m75,01,05,s50d50,casshybrid,NA
m75,01,05,s50d50,startle,0.975709
m75,01,05,s50d50,laml,0.973737
m75,02,01,s50d50,cassgreedy,0.982979
m75,02,01,s50d50,casshybrid,NA
m75,02,01,s50d50,startle,0.971660
m75,02,01,s50d50,laml,0.963563
m75,02,02,s50d50,cassgreedy,0.982869
m75,02,02,s50d50,casshybrid,NA
m75,02,02,s50d50,startle,0.959514
m75,02,02,s50d50,laml,0.957576
m75,02,03,s50d50,cassgreedy,0.978632
m75,02,03,s50d50,casshybrid,NA
m75,02,03,s50d50,startle,0.975709
m75,02,03,s50d50,laml,0.973737
m75,02,04,s50d50,cassgreedy,0.966030
m75,02,04,s50d50,casshybrid,NA
m75,02,04,s50d50,startle,0.971660
m75,02,04,s50d50,laml,0.971660
m75,02,05,s50d50,cassgreedy,0.991561
m75,02,05,s50d50,casshybrid,NA
m75,02,05,s50d50,startle,0.979757
m75,02,05,s50d50,laml,0.977778
m75,03,01,s50d50,cassgreedy,0.982979
m75,03,01,s50d50,casshybrid,NA
m75,03,01,s50d50,startle,0.975709
m75,03,01,s50d50,laml,0.973737
m75,03,02,s50d50,cassgreedy,0.982721
m75,03,02,s50d50,casshybrid,NA
m75,03,02,s50d50,startle,0.987854
m75,03,02,s50d50,laml,0.985859
m75,03,03,s50d50,cassgreedy,0.991632
m75,03,03,s50d50,casshybrid,NA
m75,03,03,s50d50,startle,0.995951
m75,03,03,s50d50,laml,1.000000
