M,p_rep,rep,modelcond,method,rf
20,04,04,s50d50,cassgreedy,0.650794
20,04,04,s50d50,casshybrid,NA
20,04,04,s50d50,startle,0.461538
20,04,04,s50d50,laml,0.432323
20,04,05,s50d50,cassgreedy,0.638767
20,04,05,s50d50,casshybrid,NA
20,04,05,s50d50,startle,0.429150
20,04,05,s50d50,laml,0.424242
20,05,01,s50d50,cassgreedy,0.576159
20,05,01,s50d50,casshybrid,NA
20,05,01,s50d50,startle,0.417004
20,05,01,s50d50,laml,0.359596
20,05,02,s50d50,cassgreedy,0.672646
20,05,02,s50d50,casshybrid,NA
20,05,02,s50d50,startle,0.453441
20,05,02,s50d50,laml,0.412121
20,05,03,s50d50,cassgreedy,0.638344
20,05,03,s50d50,casshybrid,NA
20,05,03,s50d50,startle,0.417004
20,05,03,s50d50,laml,0.408081
20,05,04,s50d50,cassgreedy,0.671053
20,05,04,s50d50,casshybrid,NA
20,05,04,s50d50,startle,0.412955
20,05,04,s50d50,laml,0.387879
20,05,05,s50d50,cassgreedy,0.711111
20,05,05,s50d50,casshybrid,NA
20,05,05,s50d50,startle,0.441296
20,05,05,s50d50,laml,0.375758
20,06,01,s50d50,cassgreedy,0.722467
20,06,01,s50d50,casshybrid,NA
20,06,01,s50d50,startle,0.421053
20,06,01,s50d50,laml,0.420202
20,06,02,s50d50,cassgreedy,0.696035
20,06,02,s50d50,casshybrid,NA
20,06,02,s50d50,startle,0.348178
20,06,02,s50d50,laml,0.250505
20,06,03,s50d50,cassgreedy,0.642384
20,06,03,s50d50,casshybrid,NA
20,06,03,s50d50,startle,0.404858
20,06,03,s50d50,laml,0.391919
20,06,04,s50d50,cassgreedy,0.565410
20,06,04,s50d50,casshybrid,NA
20,06,04,s50d50,startle,0.400810
20,06,04,s50d50,laml,0.379798
20,06,05,s50d50,cassgreedy,0.590308
20,06,05,s50d50,casshybrid,NA
20,06,05,s50d50,startle,0.453441
20,06,05,s50d50,laml,0.412121
20,07,01,s50d50,cassgreedy,0.601732
20,07,01,s50d50,casshybrid,NA
20,07,01,s50d50,startle,0.364372
20,07,01,s50d50,laml,0.363636
20,07,02,s50d50,cassgreedy,0.627193
20,07,02,s50d50,casshybrid,NA
20,07,02,s50d50,startle,0.376518
20,07,02,s50d50,laml,0.343434
20,07,03,s50d50,cassgreedy,0.651982
20,07,03,s50d50,casshybrid,NA
20,07,03,s50d50,startle,0.372470
20,07,03,s50d50,laml,0.347475
20,07,04,s50d50,cassgreedy,0.658009
20,07,04,s50d50,casshybrid,NA
20,07,04,s50d50,startle,0.340081
20,07,04,s50d50,laml,0.246465
20,07,05,s50d50,cassgreedy,0.624724
20,07,05,s50d50,casshybrid,NA
20,07,05,s50d50,startle,0.368421
20,07,05,s50d50,laml,0.367677
20,08,01,s50d50,cassgreedy,0.724289
20,08,01,s50d50,casshybrid,NA
20,08,01,s50d50,startle,0.538462
20,08,01,s50d50,laml,0.456566
20,08,02,s50d50,cassgreedy,0.770563
20,08,02,s50d50,casshybrid,NA
20,08,02,s50d50,startle,0.441296
20,08,02,s50d50,laml,0.444444
20,08,03,s50d50,cassgreedy,0.763920
20,08,03,s50d50,casshybrid,NA
20,08,03,s50d50,startle,0.530364
20,08,03,s50d50,laml,0.480808
20,08,04,s50d50,cassgreedy,0.669604
20,08,04,s50d50,casshybrid,NA
20,08,04,s50d50,startle,0.489879
20,08,04,s50d50,laml,0.355556
20,08,05,s50d50,cassgreedy,0.678414
20,08,05,s50d50,casshybrid,NA
20,08,05,s50d50,startle,0.433198
20,08,05,s50d50,laml,0.432323
20,09,01,s50d50,cassgreedy,0.606838
20,09,01,s50d50,casshybrid,NA
20,09,01,s50d50,startle,0.425101
20,09,01,s50d50,laml,0.408081
20,09,02,s50d50,cassgreedy,0.626374
20,09,02,s50d50,casshybrid,NA
20,09,02,s50d50,startle,0.469636
20,09,02,s50d50,laml,0.468687
20,09,03,s50d50,cassgreedy,0.640257
20,09,03,s50d50,casshybrid,NA
20,09,03,s50d50,startle,0.457490
20,09,03,s50d50,laml,0.400000
20,09,04,s50d50,cassgreedy,0.672489
20,09,04,s50d50,casshybrid,NA
20,09,04,s50d50,startle,0.457490
20,09,04,s50d50,laml,0.416162
20,09,05,s50d50,cassgreedy,0.596529
20,09,05,s50d50,casshybrid,NA
20,09,05,s50d50,startle,0.388664
20,09,05,s50d50,laml,0.367677
20,10,01,s50d50,cassgreedy,0.719298
20,10,01,s50d50,casshybrid,NA
20,10,01,s50d50,startle,0.497976
20,10,01,s50d50,laml,0.488889
20,10,02,s50d50,cassgreedy,0.738938
20,10,02,s50d50,casshybrid,NA
20,10,02,s50d50,startle,0.554656
20,10,02,s50d50,laml,0.468687
20,10,03,s50d50,cassgreedy,0.679121
20,10,03,s50d50,casshybrid,NA
20,10,03,s50d50,startle,0.481781
20,10,03,s50d50,laml,0.383838
20,10,04,s50d50,cassgreedy,0.640000
20,10,04,s50d50,casshybrid,NA
20,10,04,s50d50,startle,0.453441
20,10,04,s50d50,laml,0.452525
20,10,05,s50d50,cassgreedy,0.707317
20,10,05,s50d50,casshybrid,NA
20,10,05,s50d50,startle,0.461538
20,10,05,s50d50,laml,0.363636
40,01,01,s50d50,cassgreedy,0.684211
40,01,01,s50d50,casshybrid,NA
40,01,01,s50d50,startle,0.408907
40,01,01,s50d50,laml,0.307071
40,01,02,s50d50,cassgreedy,0.662281
40,01,02,s50d50,casshybrid,NA
40,01,02,s50d50,startle,0.356275
40,01,02,s50d50,laml,0.250505
40,01,03,s50d50,cassgreedy,0.646799
40,01,03,s50d50,casshybrid,NA
40,01,03,s50d50,startle,0.404858
40,01,03,s50d50,laml,0.355556
40,01,04,s50d50,cassgreedy,0.554585
40,01,04,s50d50,casshybrid,NA
40,01,04,s50d50,startle,0.344130
40,01,04,s50d50,laml,0.331313
40,01,05,s50d50,cassgreedy,0.687636
40,01,05,s50d50,casshybrid,NA
40,01,05,s50d50,startle,0.477733
40,01,05,s50d50,laml,0.476768
40,02,01,s50d50,cassgreedy,0.594714
40,02,01,s50d50,casshybrid,NA
40,02,01,s50d50,startle,0.412955
40,02,01,s50d50,laml,0.412121
40,02,02,s50d50,cassgreedy,0.592998
40,02,02,s50d50,casshybrid,NA
40,02,02,s50d50,startle,0.340081
40,02,02,s50d50,laml,0.307071
40,02,03,s50d50,cassgreedy,0.514349
40,02,03,s50d50,casshybrid,NA
40,02,03,s50d50,startle,0.364372
40,02,03,s50d50,laml,0.290909
40,02,04,s50d50,cassgreedy,0.608696
40,02,04,s50d50,casshybrid,NA
40,02,04,s50d50,startle,0.315789
40,02,04,s50d50,laml,0.315152
40,02,05,s50d50,cassgreedy,0.667406
40,02,05,s50d50,casshybrid,NA
40,02,05,s50d50,startle,0.453441
40,02,05,s50d50,laml,0.452525
40,03,01,s50d50,cassgreedy,0.611607
40,03,01,s50d50,casshybrid,NA
40,03,01,s50d50,startle,0.502024
40,03,01,s50d50,laml,0.492929
40,03,02,s50d50,cassgreedy,0.637584
40,03,02,s50d50,casshybrid,NA
40,03,02,s50d50,startle,0.469636
40,03,02,s50d50,laml,0.444444
40,03,03,s50d50,cassgreedy,0.568182
40,03,03,s50d50,casshybrid,NA
40,03,03,s50d50,startle,0.518219
40,03,03,s50d50,laml,0.476768
40,03,04,s50d50,cassgreedy,0.584989
40,03,04,s50d50,casshybrid,NA
40,03,04,s50d50,startle,0.433198
40,03,04,s50d50,laml,0.436364
40,03,05,s50d50,cassgreedy,0.635165
40,03,05,s50d50,casshybrid,NA
40,03,05,s50d50,startle,0.437247
40,03,05,s50d50,laml,0.351515
40,04,01,s50d50,cassgreedy,0.665924
40,04,01,s50d50,casshybrid,NA
40,04,01,s50d50,startle,0.449393
40,04,01,s50d50,laml,0.359596
40,04,02,s50d50,cassgreedy,0.641138
40,04,02,s50d50,casshybrid,NA
40,04,02,s50d50,startle,0.412955
40,04,02,s50d50,laml,0.375758
40,04,03,s50d50,cassgreedy,0.634361
40,04,03,s50d50,casshybrid,NA
40,04,03,s50d50,startle,0.441296
40,04,03,s50d50,laml,0.400000
40,04,04,s50d50,cassgreedy,0.625000
40,04,04,s50d50,casshybrid,NA
40,04,04,s50d50,startle,0.489879
40,04,04,s50d50,laml,0.375758
40,04,05,s50d50,cassgreedy,0.628821
40,04,05,s50d50,casshybrid,NA
40,04,05,s50d50,startle,0.518219
40,04,05,s50d50,laml,0.501010
40,05,01,s50d50,cassgreedy,0.680346
40,05,01,s50d50,casshybrid,NA
40,05,01,s50d50,startle,0.360324
40,05,01,s50d50,laml,0.286869
40,05,02,s50d50,cassgreedy,0.648590
40,05,02,s50d50,casshybrid,NA
40,05,02,s50d50,startle,0.453441
40,05,02,s50d50,laml,0.391919
40,05,03,s50d50,cassgreedy,0.547414
40,05,03,s50d50,casshybrid,NA
40,05,03,s50d50,startle,0.348178
40,05,03,s50d50,laml,0.298990
40,05,04,s50d50,cassgreedy,0.564270
40,05,04,s50d50,casshybrid,NA
40,05,04,s50d50,startle,0.352227
40,05,04,s50d50,laml,0.311111
40,05,05,s50d50,cassgreedy,0.553145
40,05,05,s50d50,casshybrid,NA
40,05,05,s50d50,startle,0.336032
40,05,05,s50d50,laml,0.218182
40,06,01,s50d50,cassgreedy,0.747748
40,06,01,s50d50,casshybrid,NA
40,06,01,s50d50,startle,0.526316
40,06,01,s50d50,laml,0.525253
40,06,02,s50d50,cassgreedy,0.651786
40,06,02,s50d50,casshybrid,NA
40,06,02,s50d50,startle,0.481781
40,06,02,s50d50,laml,0.456566
40,06,03,s50d50,cassgreedy,0.697105
40,06,03,s50d50,casshybrid,NA
40,06,03,s50d50,startle,0.477733
40,06,03,s50d50,laml,0.468687
40,06,04,s50d50,cassgreedy,0.683973
40,06,04,s50d50,casshybrid,NA
40,06,04,s50d50,startle,0.574899
40,06,04,s50d50,laml,0.573737
40,06,05,s50d50,cassgreedy,0.759637
40,06,05,s50d50,casshybrid,NA
40,06,05,s50d50,startle,0.506073
40,06,05,s50d50,laml,0.492929
40,07,01,s50d50,cassgreedy,0.558442
40,07,01,s50d50,casshybrid,NA
40,07,01,s50d50,startle,0.384615
40,07,01,s50d50,laml,0.343434
40,07,02,s50d50,cassgreedy,0.582609
40,07,02,s50d50,casshybrid,NA
40,07,02,s50d50,startle,0.376518
40,07,02,s50d50,laml,0.294949
40,07,03,s50d50,cassgreedy,0.616927
40,07,03,s50d50,casshybrid,NA
40,07,03,s50d50,startle,0.425101
40,07,03,s50d50,laml,0.371717
40,07,04,s50d50,cassgreedy,0.582609
40,07,04,s50d50,casshybrid,NA
40,07,04,s50d50,startle,0.344130
40,07,04,s50d50,laml,0.246465
40,07,05,s50d50,cassgreedy,0.592275
40,07,05,s50d50,casshybrid,NA
40,07,05,s50d50,startle,0.360324
40,07,05,s50d50,laml,0.355556
40,08,01,s50d50,cassgreedy,0.632829
40,08,01,s50d50,casshybrid,NA
40,08,01,s50d50,startle,0.323887
40,08,01,s50d50,laml,0.250505
40,08,02,s50d50,cassgreedy,0.707317
40,08,02,s50d50,casshybrid,NA
40,08,02,s50d50,startle,0.392713
40,08,02,s50d50,laml,0.359596
40,08,03,s50d50,cassgreedy,0.658643
40,08,03,s50d50,casshybrid,NA
40,08,03,s50d50,startle,0.437247
40,08,03,s50d50,laml,0.436364
40,08,04,s50d50,cassgreedy,0.582609
40,08,04,s50d50,casshybrid,NA
40,08,04,s50d50,startle,0.344130
40,08,04,s50d50,laml,0.323232
40,08,05,s50d50,cassgreedy,0.740088
40,08,05,s50d50,casshybrid,NA
40,08,05,s50d50,startle,0.392713
40,08,05,s50d50,laml,0.391919
40,09,01,s50d50,cassgreedy,0.749431
40,09,01,s50d50,casshybrid,NA
40,09,01,s50d50,startle,0.672065
40,09,01,s50d50,laml,0.650505
40,09,02,s50d50,cassgreedy,0.755656
40,09,02,s50d50,casshybrid,NA
40,09,02,s50d50,startle,0.607287
40,09,02,s50d50,laml,0.597980
40,09,03,s50d50,cassgreedy,0.763098
40,09,03,s50d50,casshybrid,NA
40,09,03,s50d50,startle,0.639676
40,09,03,s50d50,laml,0.577778
40,09,04,s50d50,cassgreedy,0.791383
40,09,04,s50d50,casshybrid,NA
40,09,04,s50d50,startle,0.704453
40,09,04,s50d50,laml,0.690909
40,09,05,s50d50,cassgreedy,0.748879
40,09,05,s50d50,casshybrid,NA
40,09,05,s50d50,startle,0.631579
40,09,05,s50d50,laml,0.622222
40,10,01,s50d50,cassgreedy,0.687225
40,10,01,s50d50,casshybrid,NA
40,10,01,s50d50,startle,0.453441
40,10,01,s50d50,laml,0.408081
40,10,02,s50d50,cassgreedy,0.606911
40,10,02,s50d50,casshybrid,NA
40,10,02,s50d50,startle,0.429150
40,10,02,s50d50,laml,0.428283
40,10,03,s50d50,cassgreedy,0.584245
40,10,03,s50d50,casshybrid,NA
40,10,03,s50d50,startle,0.364372
40,10,03,s50d50,laml,0.206061
40,10,04,s50d50,cassgreedy,0.692650
40,10,04,s50d50,casshybrid,NA
40,10,04,s50d50,startle,0.457490
40,10,04,s50d50,laml,0.444444
40,10,05,s50d50,cassgreedy,0.657016
40,10,05,s50d50,casshybrid,NA
40,10,05,s50d50,startle,0.453441
40,10,05,s50d50,laml,0.404040
60,01,01,s50d50,cassgreedy,0.614035
60,01,01,s50d50,casshybrid,NA
60,01,01,s50d50,startle,0.400810
60,01,01,s50d50,laml,0.400000
60,01,02,s50d50,cassgreedy,0.637149
60,01,02,s50d50,casshybrid,NA
60,01,02,s50d50,startle,0.400810
60,01,02,s50d50,laml,0.355556
60,01,03,s50d50,cassgreedy,0.648822
60,01,03,s50d50,casshybrid,NA
60,01,03,s50d50,startle,0.372470
60,01,03,s50d50,laml,0.347475
60,01,04,s50d50,cassgreedy,0.623894
60,01,04,s50d50,casshybrid,NA
60,01,04,s50d50,startle,0.461538
60,01,04,s50d50,laml,0.460606
60,01,05,s50d50,cassgreedy,0.614880
60,01,05,s50d50,casshybrid,NA
60,01,05,s50d50,startle,0.356275
60,01,05,s50d50,laml,0.351515
60,02,01,s50d50,cassgreedy,0.542857
60,02,01,s50d50,casshybrid,NA
60,02,01,s50d50,startle,0.307692
60,02,01,s50d50,laml,0.286869
60,02,02,s50d50,cassgreedy,0.602649
60,02,02,s50d50,casshybrid,NA
60,02,02,s50d50,startle,0.445344
60,02,02,s50d50,laml,0.432323
60,02,03,s50d50,cassgreedy,0.662338
60,02,03,s50d50,casshybrid,NA
60,02,03,s50d50,startle,0.437247
60,02,03,s50d50,laml,0.436364
60,02,04,s50d50,cassgreedy,0.530435
60,02,04,s50d50,casshybrid,NA
60,02,04,s50d50,startle,0.331984
60,02,04,s50d50,laml,0.250505
60,02,05,s50d50,cassgreedy,0.543860
60,02,05,s50d50,casshybrid,NA
60,02,05,s50d50,startle,0.396761
60,02,05,s50d50,laml,0.315152
60,03,01,s50d50,cassgreedy,0.746102
60,03,01,s50d50,casshybrid,NA
60,03,01,s50d50,startle,0.425101
60,03,01,s50d50,laml,0.387879
60,03,02,s50d50,cassgreedy,0.615044
60,03,02,s50d50,casshybrid,NA
60,03,02,s50d50,startle,0.506073
60,03,02,s50d50,laml,0.505051
60,03,03,s50d50,cassgreedy,0.649351
60,03,03,s50d50,casshybrid,NA
60,03,03,s50d50,startle,0.481781
60,03,03,s50d50,laml,0.472727
60,03,04,s50d50,cassgreedy,0.641593
60,03,04,s50d50,casshybrid,NA
60,03,04,s50d50,startle,0.392713
60,03,04,s50d50,laml,0.351515
60,03,05,s50d50,cassgreedy,0.688596
60,03,05,s50d50,casshybrid,NA
60,03,05,s50d50,startle,0.396761
60,03,05,s50d50,laml,0.395960
60,04,01,s50d50,cassgreedy,0.713636
60,04,01,s50d50,casshybrid,NA
60,04,01,s50d50,startle,0.506073
60,04,01,s50d50,laml,0.509091
60,04,02,s50d50,cassgreedy,0.711752
60,04,02,s50d50,casshybrid,NA
60,04,02,s50d50,startle,0.550607
60,04,02,s50d50,laml,0.533333
60,04,03,s50d50,cassgreedy,0.713647
60,04,03,s50d50,casshybrid,NA
60,04,03,s50d50,startle,0.566802
60,04,03,s50d50,laml,0.553535
60,04,04,s50d50,cassgreedy,0.761261
60,04,04,s50d50,casshybrid,NA
60,04,04,s50d50,startle,0.595142
60,04,04,s50d50,laml,0.585859
60,04,05,s50d50,cassgreedy,0.733032
60,04,05,s50d50,casshybrid,NA
60,04,05,s50d50,startle,0.562753
60,04,05,s50d50,laml,0.557576
60,05,01,s50d50,cassgreedy,0.509847
60,05,01,s50d50,casshybrid,NA
60,05,01,s50d50,startle,0.344130
60,05,01,s50d50,laml,0.290909
60,05,02,s50d50,cassgreedy,0.593074
60,05,02,s50d50,casshybrid,NA
60,05,02,s50d50,startle,0.376518
60,05,02,s50d50,laml,0.367677
60,05,03,s50d50,cassgreedy,0.629956
60,05,03,s50d50,casshybrid,NA
60,05,03,s50d50,startle,0.327935
60,05,03,s50d50,laml,0.311111
60,05,04,s50d50,cassgreedy,0.658747
60,05,04,s50d50,casshybrid,NA
60,05,04,s50d50,startle,0.348178
60,05,04,s50d50,laml,0.327273
60,05,05,s50d50,cassgreedy,0.586057
60,05,05,s50d50,casshybrid,NA
60,05,05,s50d50,startle,0.360324
60,05,05,s50d50,laml,0.303030
60,06,01,s50d50,cassgreedy,0.690205
60,06,01,s50d50,casshybrid,NA
60,06,01,s50d50,startle,0.473684
60,06,01,s50d50,laml,0.472727
60,06,02,s50d50,cassgreedy,0.663717
60,06,02,s50d50,casshybrid,NA
60,06,02,s50d50,startle,0.522267
60,06,02,s50d50,laml,0.513131
60,06,03,s50d50,cassgreedy,0.661400
60,06,03,s50d50,casshybrid,NA
60,06,03,s50d50,startle,0.477733
60,06,03,s50d50,laml,0.436364
60,06,04,s50d50,cassgreedy,0.772321
60,06,04,s50d50,casshybrid,NA
60,06,04,s50d50,startle,0.481781
60,06,04,s50d50,laml,0.480808
60,06,05,s50d50,cassgreedy,0.734234
60,06,05,s50d50,casshybrid,NA
60,06,05,s50d50,startle,0.485830
60,06,05,s50d50,laml,0.484848
60,07,01,s50d50,cassgreedy,0.700441
60,07,01,s50d50,casshybrid,NA
60,07,01,s50d50,startle,0.368421
60,07,01,s50d50,laml,0.367677
60,07,02,s50d50,cassgreedy,0.645788
60,07,02,s50d50,casshybrid,NA
60,07,02,s50d50,startle,0.344130
60,07,02,s50d50,laml,0.323232
60,07,03,s50d50,cassgreedy,0.623377
60,07,03,s50d50,casshybrid,NA
60,07,03,s50d50,startle,0.344130
60,07,03,s50d50,laml,0.343434
60,07,04,s50d50,cassgreedy,0.649891
60,07,04,s50d50,casshybrid,NA
60,07,04,s50d50,startle,0.425101
60,07,04,s50d50,laml,0.375758
60,07,05,s50d50,cassgreedy,0.676991
60,07,05,s50d50,casshybrid,NA
60,07,05,s50d50,startle,0.336032
60,07,05,s50d50,laml,0.335354
60,08,01,s50d50,cassgreedy,0.608889
60,08,01,s50d50,casshybrid,NA
60,08,01,s50d50,startle,0.384615
60,08,01,s50d50,laml,0.343434
60,08,02,s50d50,cassgreedy,0.607843
60,08,02,s50d50,casshybrid,NA
60,08,02,s50d50,startle,0.392713
60,08,02,s50d50,laml,0.343434
60,08,03,s50d50,cassgreedy,0.619256
60,08,03,s50d50,casshybrid,NA
60,08,03,s50d50,startle,0.445344
60,08,03,s50d50,laml,0.408081
60,08,04,s50d50,cassgreedy,0.667396
60,08,04,s50d50,casshybrid,NA
60,08,04,s50d50,startle,0.433198
60,08,04,s50d50,laml,0.339394
60,08,05,s50d50,cassgreedy,0.665924
60,08,05,s50d50,casshybrid,NA
60,08,05,s50d50,startle,0.404858
60,08,05,s50d50,laml,0.311111
60,09,01,s50d50,cassgreedy,0.702703
60,09,01,s50d50,casshybrid,NA
60,09,01,s50d50,startle,0.538462
60,09,01,s50d50,laml,0.537374
60,09,02,s50d50,cassgreedy,0.682327
60,09,02,s50d50,casshybrid,NA
60,09,02,s50d50,startle,0.485830
60,09,02,s50d50,laml,0.440404
60,09,03,s50d50,cassgreedy,0.721348
60,09,03,s50d50,casshybrid,NA
60,09,03,s50d50,startle,0.497976
60,09,03,s50d50,laml,0.440404
60,09,04,s50d50,cassgreedy,0.656751
60,09,04,s50d50,casshybrid,NA
60,09,04,s50d50,startle,0.595142
60,09,04,s50d50,laml,0.593939
60,09,05,s50d50,cassgreedy,0.714286
60,09,05,s50d50,casshybrid,NA
60,09,05,s50d50,startle,0.611336
60,09,05,s50d50,laml,0.606061
60,10,01,s50d50,cassgreedy,0.574561
60,10,01,s50d50,casshybrid,NA
60,10,01,s50d50,startle,0.336032
60,10,01,s50d50,laml,0.294949
60,10,02,s50d50,cassgreedy,0.629464
60,10,02,s50d50,casshybrid,NA
60,10,02,s50d50,startle,0.327935
60,10,02,s50d50,laml,0.258586
60,10,03,s50d50,cassgreedy,0.657658
60,10,03,s50d50,casshybrid,NA
60,10,03,s50d50,startle,0.368421
60,10,03,s50d50,laml,0.363636
60,10,04,s50d50,cassgreedy,0.632743
60,10,04,s50d50,casshybrid,NA
60,10,04,s50d50,startle,0.376518
60,10,04,s50d50,laml,0.323232
60,10,05,s50d50,cassgreedy,0.603524
60,10,05,s50d50,casshybrid,NA
60,10,05,s50d50,startle,0.445344
60,10,05,s50d50,laml,0.400000
80,01,01,s50d50,cassgreedy,0.573626
80,01,01,s50d50,casshybrid,NA
80,01,01,s50d50,startle,0.368421
80,01,01,s50d50,laml,0.359596
80,01,02,s50d50,cassgreedy,0.546841
80,01,02,s50d50,casshybrid,NA
80,01,02,s50d50,startle,0.336032
80,01,02,s50d50,laml,0.335354
80,01,03,s50d50,cassgreedy,0.620915
80,01,03,s50d50,casshybrid,NA
80,01,03,s50d50,startle,0.319838
80,01,03,s50d50,laml,0.307071
80,01,04,s50d50,cassgreedy,0.523810
80,01,04,s50d50,casshybrid,NA
80,01,04,s50d50,startle,0.323887
80,01,04,s50d50,laml,0.311111
80,01,05,s50d50,cassgreedy,0.598234
80,01,05,s50d50,casshybrid,NA
80,01,05,s50d50,startle,0.392713
80,01,05,s50d50,laml,0.327273
80,02,01,s50d50,cassgreedy,0.579869
80,02,01,s50d50,casshybrid,NA
80,02,01,s50d50,startle,0.408907
80,02,01,s50d50,laml,0.327273
80,02,02,s50d50,cassgreedy,0.536481
80,02,02,s50d50,casshybrid,NA
80,02,02,s50d50,startle,0.348178
80,02,02,s50d50,laml,0.218182
80,02,03,s50d50,cassgreedy,0.600868
80,02,03,s50d50,casshybrid,NA
80,02,03,s50d50,startle,0.425101
80,02,03,s50d50,laml,0.400000
80,02,04,s50d50,cassgreedy,0.547826
80,02,04,s50d50,casshybrid,NA
80,02,04,s50d50,startle,0.348178
80,02,04,s50d50,laml,0.347475
80,02,05,s50d50,cassgreedy,0.584582
80,02,05,s50d50,casshybrid,NA
80,02,05,s50d50,startle,0.352227
80,02,05,s50d50,laml,0.323232
80,03,01,s50d50,cassgreedy,0.712360
80,03,01,s50d50,casshybrid,NA
80,03,01,s50d50,startle,0.546559
80,03,01,s50d50,laml,0.545455
80,03,02,s50d50,cassgreedy,0.739326
80,03,02,s50d50,casshybrid,NA
80,03,02,s50d50,startle,0.449393
80,03,02,s50d50,laml,0.444444
80,03,03,s50d50,cassgreedy,0.753986
80,03,03,s50d50,casshybrid,NA
80,03,03,s50d50,startle,0.607287
80,03,03,s50d50,laml,0.593939
80,03,04,s50d50,cassgreedy,0.718821
80,03,04,s50d50,casshybrid,NA
80,03,04,s50d50,startle,0.570850
80,03,04,s50d50,laml,0.569697
80,03,05,s50d50,cassgreedy,0.699552
80,03,05,s50d50,casshybrid,NA
80,03,05,s50d50,startle,0.587045
80,03,05,s50d50,laml,0.573737
80,04,01,s50d50,cassgreedy,0.714912
80,04,01,s50d50,casshybrid,NA
80,04,01,s50d50,startle,0.388664
80,04,01,s50d50,laml,0.387879
80,04,02,s50d50,cassgreedy,0.713024
80,04,02,s50d50,casshybrid,NA
80,04,02,s50d50,startle,0.429150
80,04,02,s50d50,laml,0.412121
80,04,03,s50d50,cassgreedy,0.654267
80,04,03,s50d50,casshybrid,NA
80,04,03,s50d50,startle,0.566802
80,04,03,s50d50,laml,0.561616
80,04,04,s50d50,cassgreedy,0.670282
80,04,04,s50d50,casshybrid,NA
80,04,04,s50d50,startle,0.477733
80,04,04,s50d50,laml,0.444444
80,04,05,s50d50,cassgreedy,0.724731
80,04,05,s50d50,casshybrid,NA
80,04,05,s50d50,startle,0.433198
80,04,05,s50d50,laml,0.408081
80,05,01,s50d50,cassgreedy,0.676856
80,05,01,s50d50,casshybrid,NA
80,05,01,s50d50,startle,0.372470
80,05,01,s50d50,laml,0.339394
80,05,02,s50d50,cassgreedy,0.667406
80,05,02,s50d50,casshybrid,NA
80,05,02,s50d50,startle,0.368421
80,05,02,s50d50,laml,0.351515
80,05,03,s50d50,cassgreedy,0.636761
