k,p_rep,rep,modelcond,method,rf
30,09,01,k30s50d50,casshybrid,0.500000
30,09,01,k30s50d50,cassilp,NA
30,09,01,k30s50d50,startle,0.333333
30,09,01,k30s50d50,laml,0.327273
30,09,02,k30s50d50,cassgreedy,0.660377
30,09,02,k30s50d50,casshybrid,0.735849
30,09,02,k30s50d50,cassilp,NA
30,09,02,k30s50d50,startle,0.555556
30,09,02,k30s50d50,laml,0.581818
30,09,03,k30s50d50,cassgreedy,0.584906
30,09,03,k30s50d50,casshybrid,0.433962
30,09,03,k30s50d50,cassilp,NA
30,09,03,k30s50d50,startle,0.333333
30,09,03,k30s50d50,laml,0.218182
30,09,04,k30s50d50,cassgreedy,0.509434
30,09,04,k30s50d50,casshybrid,0.411765
30,09,04,k30s50d50,cassilp,NA
30,09,04,k30s50d50,startle,0.222222
30,09,04,k30s50d50,laml,0.181818
30,09,05,k30s50d50,cassgreedy,0.538462
30,09,05,k30s50d50,casshybrid,0.307692
30,09,05,k30s50d50,cassilp,NA
30,09,05,k30s50d50,startle,0.444444
30,09,05,k30s50d50,laml,0.363636
30,10,01,k30s50d50,cassgreedy,0.555556
30,10,01,k30s50d50,casshybrid,0.396226
30,10,01,k30s50d50,cassilp,0.511111
30,10,01,k30s50d50,startle,0.481481
30,10,01,k30s50d50,laml,0.436364
30,10,02,k30s50d50,cassgreedy,0.384615
30,10,02,k30s50d50,casshybrid,0.384615
30,10,02,k30s50d50,cassilp,0.307692
30,10,02,k30s50d50,startle,0.370370
30,10,02,k30s50d50,laml,0.181818
30,10,03,k30s50d50,cassgreedy,0.384615
30,10,03,k30s50d50,casshybrid,0.358491
30,10,03,k30s50d50,cassilp,0.666667
30,10,03,k30s50d50,startle,0.407407
30,10,03,k30s50d50,laml,0.363636
30,10,04,k30s50d50,cassgreedy,0.592593
30,10,04,k30s50d50,casshybrid,0.396226
30,10,04,k30s50d50,cassilp,NA
30,10,04,k30s50d50,startle,0.407407
30,10,04,k30s50d50,laml,0.363636
30,10,05,k30s50d50,cassgreedy,0.555556
30,10,05,k30s50d50,casshybrid,0.307692
30,10,05,k30s50d50,cassilp,0.469388
30,10,05,k30s50d50,startle,0.296296
30,10,05,k30s50d50,laml,0.218182
