Sample,Runtime,Method
s100d0p05_sub250_r02,1m6.217s,nj
s75d25p04_sub250_r05,1m5.474s,nj
s75d25p05_sub250_r01,1m5.474s,nj
s75d25p05_sub250_r02,1m5.474s,nj
s75d25p05_sub250_r03,1m5.474s,nj
s75d25p05_sub250_r04,1m5.499s,nj
s75d25p05_sub250_r05,1m5.471s,nj
s75d25p06_sub250_r01,1m5.471s,nj
s75d25p06_sub250_r02,1m5.471s,nj
s75d25p06_sub250_r03,1m5.471s,nj
s75d25p06_sub250_r04,1m2.904s,nj
s100d0p05_sub250_r03,1m6.217s,nj
s75d25p06_sub250_r05,1m2.878s,nj
s75d25p07_sub250_r01,1m2.904s,nj
s75d25p07_sub250_r02,1m2.895s,nj
s75d25p07_sub250_r03,1m2.904s,nj
s75d25p07_sub250_r04,1m6.464s,nj
s75d25p07_sub250_r05,1m6.419s,nj
s75d25p08_sub250_r01,1m6.464s,nj
s75d25p08_sub250_r02,1m6.463s,nj
s75d25p08_sub250_r03,1m6.463s,nj
s75d25p08_sub250_r04,1m6.448s,nj
s100d0p05_sub250_r04,1m3.426s,nj
s75d25p08_sub250_r05,1m6.464s,nj
s75d25p09_sub250_r01,1m6.464s,nj
s75d25p09_sub250_r02,1m6.464s,nj
s75d25p09_sub250_r03,1m6.464s,nj
s75d25p09_sub250_r04,1m6.455s,nj
s75d25p09_sub250_r05,1m6.453s,nj
s75d25p10_sub250_r01,1m6.454s,nj
s75d25p10_sub250_r02,1m6.453s,nj
s75d25p10_sub250_r03,1m6.455s,nj
s75d25p10_sub250_r04,1m6.453s,nj
s100d0p05_sub250_r05,1m3.420s,nj
s75d25p10_sub250_r05,1m6.414s,nj
s100d0p06_sub250_r01,1m3.404s,nj
s100d0p06_sub250_r02,1m3.427s,nj
s100d0p06_sub250_r03,1m3.426s,nj
s100d0p06_sub250_r04,1m3.427s,nj
s100d0p01_sub250_r03,0m13.136s,nj
s100d0p06_sub250_r05,1m2.820s,nj
s100d0p07_sub250_r01,1m2.818s,nj
s100d0p07_sub250_r02,1m2.818s,nj
s100d0p07_sub250_r03,1m2.816s,nj
s100d0p07_sub250_r04,1m2.818s,nj
s100d0p07_sub250_r05,1m2.818s,nj
