flag,rep,size,totaltime,totalnumiter
closed-form,s0d100p08_sub1250_r02,1250,168.26908694952726,136
closed-form,s0d100p08_sub1250_r03,1250,226.7072198772803,131
closed-form,s0d100p08_sub1250_r04,1250,195.5433402992785,127
closed-form,s0d100p08_sub1250_r05,1250,190.6159925851971,123
closed-form,s0d100p08_sub2500_r01,2500,295.5246471175924,115
closed-form,s0d100p08_sub2500_r02,2500,326.1520248102024,129
closed-form,s0d100p08_sub2500_r03,2500,364.369524105452,145
closed-form,s0d100p08_sub2500_r04,2500,422.30875670164824,156
closed-form,s0d100p01_sub5000_r05,5000,,130
closed-form,s0d100p08_sub2500_r05,2500,305.4341143164784,116
closed-form,s0d100p08_sub5000_r01,5000,36055.77444820572,114
closed-form,s0d100p08_sub5000_r02,5000,27215.51434766315,124
closed-form,s0d100p08_sub5000_r03,5000,25767.677455228753,133
closed-form,s0d100p08_sub5000_r04,5000,13010.838153552264,128
closed-form,s0d100p08_sub5000_r05,5000,13942.132350591943,145
closed-form,s0d100p08_sub7500_r01,7500,,
closed-form,,,,
closed-form,s0d100p08_sub7500_r03,7500,,
closed-form,s0d100p08_sub7500_r04,7500,,
closed-form,s0d100p01_sub7500_r01,7500,,
closed-form,s0d100p08_sub7500_r05,7500,,
closed-form,s0d100p09_sub1250_r01,1250,155.9542129803449,124
closed-form,s0d100p09_sub1250_r02,1250,175.42710047401488,136
closed-form,s0d100p09_sub1250_r03,1250,165.56303445622325,133
closed-form,s0d100p09_sub1250_r04,1250,106.45293392799795,130
closed-form,s0d100p09_sub1250_r05,1250,237.50285032298416,141
closed-form,s0d100p09_sub2500_r01,2500,288.4415504196659,124
closed-form,s0d100p09_sub2500_r02,2500,294.4967218339443,124
closed-form,s0d100p09_sub2500_r03,2500,336.95557121373713,125
closed-form,s0d100p09_sub2500_r04,2500,368.581408803002,150
closed-form,s0d100p01_sub7500_r02,7500,,
closed-form,s0d100p09_sub2500_r05,2500,308.68028245214373,130
closed-form,s0d100p09_sub5000_r01,5000,13205.494868126698,122
closed-form,s0d100p09_sub5000_r02,5000,12348.84797511436,132
closed-form,s0d100p09_sub5000_r03,5000,26464.68724425696,139
closed-form,s0d100p09_sub5000_r04,5000,24774.738927790895,118
closed-form,s0d100p09_sub5000_r05,5000,18751.68269774597,127
closed-form,,,,
closed-form,s0d100p09_sub7500_r02,7500,,
closed-form,s0d100p09_sub7500_r03,7500,,
closed-form,s0d100p09_sub7500_r04,7500,,
closed-form,s0d100p01_sub7500_r03,7500,,
closed-form,s0d100p09_sub7500_r05,7500,,
closed-form,s0d100p01_sub7500_r04,7500,,
closed-form,s0d100p01_sub1250_r02,1250,,132
closed-form,s0d100p01_sub7500_r05,7500,,
closed-form,s0d100p02_sub1250_r01,1250,161.27429697662592,125
closed-form,s0d100p02_sub1250_r02,1250,165.00845644064248,128
closed-form,s0d100p02_sub1250_r03,1250,152.20554902311414,116
closed-form,s0d100p02_sub1250_r04,1250,147.49752757325768,120
closed-form,s0d100p02_sub1250_r05,1250,187.99825928546488,145
closed-form,s0d100p02_sub2500_r01,2500,376.39044175762683,148
closed-form,s0d100p02_sub2500_r02,2500,336.1694481903687,129
closed-form,s0d100p02_sub2500_r03,2500,330.35104882437736,126
closed-form,s0d100p02_sub2500_r04,2500,299.4818624127656,114
closed-form,s0d100p01_sub1250_r03,1250,,135
closed-form,s0d100p02_sub2500_r05,2500,322.5275535834953,125
closed-form,s0d100p02_sub5000_r01,5000,15334.751999126747,137
closed-form,s0d100p02_sub5000_r02,5000,17874.171007234603,112
closed-form,s0d100p02_sub5000_r03,5000,17840.69483944308,128
closed-form,s0d100p02_sub5000_r04,5000,17588.04664075002,129
closed-form,s0d100p02_sub5000_r05,5000,17354.869446857832,129
closed-form,s0d100p02_sub7500_r01,7500,,
closed-form,s0d100p02_sub7500_r02,7500,,
closed-form,s0d100p02_sub7500_r03,7500,,
closed-form,s0d100p02_sub7500_r04,7500,,
closed-form,s0d100p01_sub1250_r04,1250,,118
closed-form,s0d100p02_sub7500_r05,7500,,
closed-form,s0d100p03_sub1250_r01,1250,175.00985623896122,137
closed-form,s0d100p03_sub1250_r02,1250,157.1048798598349,134
closed-form,s0d100p03_sub1250_r03,1250,131.02817108854651,99
closed-form,s0d100p03_sub1250_r04,1250,154.02845218218863,116
closed-form,s0d100p03_sub1250_r05,1250,152.30104089155793,115
closed-form,s0d100p03_sub2500_r01,2500,309.08635112829506,116
closed-form,s0d100p03_sub2500_r02,2500,280.6192230004817,109
closed-form,s0d100p03_sub2500_r03,2500,400.1183442082256,150
closed-form,s0d100p03_sub2500_r04,2500,317.5211555827409,120
closed-form,s0d100p01_sub1250_r05,1250,,129
closed-form,s0d100p03_sub2500_r05,2500,359.620796976611,133
closed-form,s0d100p03_sub5000_r01,5000,28282.40237663593,117
closed-form,s0d100p03_sub5000_r02,5000,12886.485217897221,123
closed-form,s0d100p03_sub5000_r03,5000,12846.52075625956,125
closed-form,s0d100p03_sub5000_r04,5000,13020.605902399868,122
closed-form,s0d100p03_sub5000_r05,5000,13152.458207577467,137
closed-form,s0d100p03_sub7500_r01,7500,,
closed-form,s0d100p03_sub7500_r02,7500,,
closed-form,s0d100p03_sub7500_r03,7500,,
closed-form,s0d100p03_sub7500_r04,7500,,
closed-form,s0d100p01_sub2500_r01,2500,,138
closed-form,s0d100p03_sub7500_r05,7500,,
closed-form,s0d100p04_sub1250_r01,1250,105.74042222090065,124
closed-form,s0d100p04_sub1250_r02,1250,107.82189539074898,119
closed-form,s0d100p04_sub1250_r03,1250,110.366495359689,123
closed-form,s0d100p04_sub1250_r04,1250,108.93717972002923,120
