flag,rep,size,estep,mstep,llh
closed-form,s0d100p08_sub650_r02,650,0.502386,0.0187136,16588.918878452954
closed-form,s0d100p08_sub650_r03,650,0.512113,0.0189944,16543.56677836598
closed-form,s0d100p08_sub650_r04,650,0.512373,0.0190822,16576.515297391914
closed-form,s0d100p08_sub650_r05,650,0.531552,0.0188566,16566.48937491564
closed-form,s0d100p08_sub850_r01,850,0.642396,0.0241187,20680.582145996214
closed-form,s0d100p08_sub850_r02,850,0.664266,0.025069,20730.667874979965
closed-form,s0d100p08_sub850_r03,850,0.658077,0.0246654,20721.48952201799
closed-form,s0d100p08_sub850_r04,850,0.682253,0.0240656,20784.44917977335
closed-form,s0d100p08_sub850_r05,850,0.656119,0.024878,20768.478351630205
closed-form,s0d100p09_sub1024_r01,1024,0.758246,0.0298019,25539.896054239132
closed-form,s0d100p01_sub850_r01,850,0.843973,0.0262065,21230.30488236162
closed-form,s0d100p09_sub250_r01,250,0.184379,0.00702913,7851.741931265513
closed-form,s0d100p09_sub250_r02,250,0.18501,0.00711082,7936.890098673541
closed-form,s0d100p09_sub250_r03,250,0.181316,0.00704659,7949.051575225907
closed-form,s0d100p09_sub250_r04,250,0.185998,0.00705529,7838.645594698298
closed-form,s0d100p09_sub250_r05,250,0.185815,0.00708885,7828.510589077298
closed-form,s0d100p09_sub450_r01,450,0.355458,0.012956,12856.041542391851
closed-form,s0d100p09_sub450_r02,450,0.342925,0.0131842,13044.553161156447
closed-form,s0d100p09_sub450_r03,450,0.341681,0.013134,12978.434146142843
closed-form,s0d100p09_sub450_r04,450,0.333323,0.0129086,12949.968543618575
closed-form,s0d100p09_sub450_r05,450,0.336003,0.0130175,12955.961909643669
closed-form,s0d100p01_sub850_r02,850,0.838585,0.0254272,21238.6023064758
closed-form,s0d100p09_sub650_r01,650,0.486111,0.0190244,17512.733562293455
closed-form,s0d100p09_sub650_r02,650,0.481213,0.0189142,17590.515854082027
closed-form,s0d100p09_sub650_r03,650,0.481209,0.0188665,17587.655554352998
closed-form,s0d100p09_sub650_r04,650,0.477697,0.0189581,17491.995009308353
closed-form,s0d100p09_sub650_r05,650,0.515365,0.0191722,17566.97403154113
closed-form,s0d100p09_sub850_r01,850,0.631402,0.0247644,21779.63703622738
closed-form,s0d100p09_sub850_r02,850,0.642467,0.0249552,21908.130069884995
closed-form,s0d100p09_sub850_r03,850,0.637297,0.0247185,21924.023877372692
closed-form,s0d100p09_sub850_r04,850,0.661258,0.0248852,21960.102560940115
closed-form,s0d100p09_sub850_r05,850,0.618229,0.024411,21856.872506085536
closed-form,s0d100p01_sub850_r03,850,0.862288,0.0262138,21189.33592093853
closed-form,s0d100p10_sub1024_r01,1024,0.747166,0.0268474,25671.84882023563
closed-form,s0d100p10_sub250_r01,250,0.182223,0.00709945,7947.426850568237
closed-form,s0d100p10_sub250_r02,250,0.183723,0.00699346,7810.165030745851
closed-form,s0d100p10_sub250_r03,250,0.1848,0.00702795,8056.997927145573
closed-form,s0d100p10_sub250_r04,250,0.184328,0.00733322,7934.239663625896
closed-form,s0d100p10_sub250_r05,250,0.182391,0.00701137,8015.2706019233765
closed-form,s0d100p10_sub450_r01,450,0.3466,0.0128433,12954.500288793528
closed-form,s0d100p10_sub450_r02,450,0.332367,0.012784,13109.39700389288
closed-form,s0d100p10_sub450_r03,450,0.328882,0.0129721,12753.834114631773
closed-form,s0d100p10_sub450_r04,450,0.338772,0.0127543,13169.817876518402
closed-form,s0d100p01_sub250_r01,250,0.250118,0.00814867,7592.310354254604
closed-form,s0d100p01_sub850_r04,850,0.864957,0.0260222,21356.289207545324
closed-form,s0d100p10_sub450_r05,450,0.349957,0.0128654,12967.612384180049
closed-form,s0d100p10_sub650_r01,650,0.481921,0.0185906,17652.14734409972
closed-form,s0d100p10_sub650_r02,650,0.483346,0.0187944,17724.421132484895
closed-form,s0d100p10_sub650_r03,650,0.49157,0.0197802,17628.527179422992
closed-form,s0d100p10_sub650_r04,650,0.489489,0.0199976,17821.629581397417
closed-form,s0d100p10_sub650_r05,650,0.478061,0.0199849,17617.487893785023
closed-form,s0d100p10_sub850_r01,850,0.635063,0.0259526,22081.990769434695
