type model prior treeSize rep nMissing nSilenceTrue nSilenceEst nDropoutTrue nDropoutEst nCorrect accuracy
estTopo s0d100 08 sub250 r03 1849 0 0 1849 1849 1849 1.0
trueTopo s0d100 08 sub250 r03 1849 0 0 1849 1849 1849 1.0
estTopo s0d100 08 sub250 r04 1889 0 5 1889 1884 1884 0.9973530968766543
trueTopo s0d100 08 sub250 r04 1889 0 0 1889 1889 1889 1.0
estTopo s0d100 08 sub250 r05 1874 0 0 1874 1874 1874 1.0
trueTopo s0d100 08 sub250 r05 1874 0 0 1874 1874 1874 1.0
estTopo s0d100 09 sub250 r01 1958 0 0 1958 1958 1958 1.0
trueTopo s0d100 09 sub250 r01 1958 0 0 1958 1958 1958 1.0
estTopo s0d100 09 sub250 r02 1946 0 10 1946 1936 1936 0.9948612538540597
trueTopo s0d100 09 sub250 r02 1946 0 0 1946 1946 1946 1.0
estTopo s0d100 09 sub250 r03 1873 0 0 1873 1873 1873 1.0
trueTopo s0d100 09 sub250 r03 1873 0 0 1873 1873 1873 1.0
estTopo s0d100 09 sub250 r04 1875 0 0 1875 1875 1875 1.0
trueTopo s0d100 09 sub250 r04 1875 0 0 1875 1875 1875 1.0
estTopo s0d100 09 sub250 r05 1945 0 0 1945 1945 1945 1.0
trueTopo s0d100 09 sub250 r05 1945 0 0 1945 1945 1945 1.0
estTopo s0d100 10 sub250 r01 1898 0 0 1898 1898 1898 1.0
trueTopo s0d100 10 sub250 r01 1898 0 0 1898 1898 1898 1.0
estTopo s0d100 10 sub250 r02 1858 0 0 1858 1858 1858 1.0
trueTopo s0d100 10 sub250 r02 1858 0 0 1858 1858 1858 1.0
estTopo s0d100 10 sub250 r03 1894 0 0 1894 1894 1894 1.0
trueTopo s0d100 10 sub250 r03 1894 0 0 1894 1894 1894 1.0
estTopo s0d100 10 sub250 r04 1877 0 0 1877 1877 1877 1.0
trueTopo s0d100 10 sub250 r04 1877 0 0 1877 1877 1877 1.0
estTopo s0d100 10 sub250 r05 1916 0 0 1916 1916 1916 1.0
trueTopo s0d100 10 sub250 r05 1916 0 0 1916 1916 1916 1.0
estTopo s25d75 01 sub250 r01 1806 411 307 1395 1499 1612 0.8925802879291251
trueTopo s25d75 01 sub250 r01 1806 411 309 1395 1497 1634 0.9047619047619048
estTopo s25d75 01 sub250 r02 1830 392 277 1438 1553 1621 0.885792349726776
trueTopo s25d75 01 sub250 r02 1830 392 299 1438 1531 1657 0.905464480874317
estTopo s25d75 01 sub250 r03 1832 405 323 1427 1509 1634 0.8919213973799127
trueTopo s25d75 01 sub250 r03 1832 405 311 1427 1521 1676 0.9148471615720524
estTopo s25d75 01 sub250 r04 1870 395 307 1475 1563 1688 0.9026737967914439
trueTopo s25d75 01 sub250 r04 1870 395 325 1475 1545 1686 0.9016042780748663
estTopo s25d75 01 sub250 r05 1863 387 278 1476 1585 1694 0.9092860976918948
trueTopo s25d75 01 sub250 r05 1863 387 286 1476 1577 1716 0.9210950080515298
estTopo s25d75 02 sub250 r01 1879 467 368 1412 1511 1712 0.9111229377328366
trueTopo s25d75 02 sub250 r01 1879 467 370 1412 1509 1730 0.9207025013304949
estTopo s25d75 02 sub250 r02 1859 411 305 1448 1554 1717 0.9236148466917697
trueTopo s25d75 02 sub250 r02 1859 411 305 1448 1554 1723 0.9268423883808499
estTopo s25d75 02 sub250 r03 1899 402 284 1497 1615 1743 0.9178515007898894
