sample nsites nodeID d2root dML dMP
3520_NT_T1 30 I142 1.30273 0.24721 2
3520_NT_T1 30 I143 1.88805 0.585321 1
3520_NT_T1 30 I144 2.08431 0.196258 1
3520_NT_T1 30 I148 1.64803 0.345301 2
3520_NT_T1 30 I150 2.56175 0.913722 0
3520_NT_T1 30 I151 1.8336 0.185574 1
3520_NT_T1 30 I152 1.96023 0.126627 1
3520_NT_T1 30 I153 2.56175 0.601521 0
3520_NT_T1 30 I158 1.39111 0.335591 0
3520_NT_T1 30 I159 1.71053 0.319427 2
3520_NT_T1 30 I16 0.605895 0.297075 1
3520_NT_T1 30 I161 2.26023 0.549692 0
3520_NT_T1 30 I163 2.26589 0.555358 1
3520_NT_T1 30 I165 1.50205 0.11094 1
3520_NT_T1 30 I166 1.94729 0.445239 1
3520_NT_T1 30 I17 0.729729 0.123834 2
3520_NT_T1 30 I172 1.3606 0.58419 0
3520_NT_T1 30 I175 0.7807 0.116264 4
3520_NT_T1 30 I179 1.09856 0.317859 3
3520_NT_T1 30 I180 1.77952 0.680965 2
3520_NT_T1 30 I187 0.359076 0.209677 4
3520_NT_T1 30 I190 0.518665 0.15959 0
3520_NT_T1 30 I191 0.71166 0.192994 4
3520_NT_T1 30 I198 0.56974 0.210664 5
3520_NT_T1 30 I2 0.0306832 0.0306832 2
3520_NT_T1 30 I202 2.09753 1.52779 0
3520_NT_T1 30 I206 0.776277 0.206537 3
3520_NT_T1 30 I208 1.50663 0.730357 0
3520_NT_T1 30 I21 0.958831 0.229101 2
3520_NT_T1 30 I210 2.08632 0.579686 5
3520_NT_T1 30 I213 0.873135 0.0968579 2
3520_NT_T1 30 I216 1.92789 1.05475 8
3520_NT_T1 30 I219 0.00499993 0.00499993 1
3520_NT_T1 30 I22 1.06498 0.106146 2
3520_NT_T1 30 I220 0.38568 0.38068 6
3520_NT_T1 30 I221 0.628434 0.242754 6
3520_NT_T1 30 I222 0.674534 0.0460993 1
3520_NT_T1 30 I225 0.729475 0.0549414 0
3520_NT_T1 30 I226 1.18771 0.458233 5
3520_NT_T1 30 I227 1.53281 0.345097 1
3520_NT_T1 30 I23 1.6141 0.549125 0
3520_NT_T1 30 I238 0.729118 0.0545844 1
3520_NT_T1 30 I241 1.23502 0.505898 0
3520_NT_T1 30 I247 0.88292 0.153802 5
3520_NT_T1 30 I249 1.07288 0.189962 0
3520_NT_T1 30 I253 1.07788 0.00499999 3
3520_NT_T1 30 I263 1.07799 0.19507 2
3520_NT_T1 30 I268 0.752578 0.0780445 2
3520_NT_T1 30 I269 0.893111 0.140532 1
3520_NT_T1 30 I270 1.03243 0.139319 4
3520_NT_T1 30 I275 1.09824 0.0658147 1
3520_NT_T1 30 I276 1.15472 0.0564725 2
3520_NT_T1 30 I283 1.01278 0.119674 1
3520_NT_T1 30 I284 1.15941 0.146623 4
3520_NT_T1 30 I285 1.94194 0.78253 1
3520_NT_T1 30 I288 2.45742 0.515481 3
3520_NT_T1 30 I290 1.57214 0.41273 1
3520_NT_T1 30 I294 1.69614 0.124002 3
3520_NT_T1 30 I299 1.28968 0.276893 0
3520_NT_T1 30 I3 0.0992014 0.0685183 3
3520_NT_T1 30 I301 1.74623 0.456554 0
3520_NT_T1 30 I302 1.93864 0.192405 2
3520_NT_T1 30 I322 1.05807 0.429634 0
3520_NT_T1 30 I323 1.76264 0.704569 5
3520_NT_T1 30 I324 2.023 0.260358 1
3520_NT_T1 30 I325 2.028 0.00500017 1
3520_NT_T1 30 I334 0.881471 0.495791 8
3520_NT_T1 30 I335 1.02824 0.14677 3
3520_NT_T1 30 I339 1.94431 0.916065 0
3520_NT_T1 30 I340 2.08037 0.136068 1
3520_NT_T1 30 I343 2.2442 0.163829 1
3520_NT_T1 30 I350 1.17703 0.148792 2
3520_NT_T1 30 I351 1.3379 0.160869 2
3520_NT_T1 30 I352 1.45556 0.117658 1
