model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M100p07_medium_sub1000_r03,startle,2024556,0.00,NA
k30M100p07_medium_sub1000_r04,startle,2040656,0.00,NA
k30M100p07_medium_sub1000_r05,startle,2017724,0.00,NA
k30M100p08_medium_sub1000_r01,startle,2031428,0.00,NA
k30M100p08_medium_sub1000_r02,startle,2013376,0.00,NA
k30M100p08_medium_sub1000_r03,startle,2008712,0.00,NA
k30M100p08_medium_sub1000_r04,startle,2021548,0.00,NA
k30M100p08_medium_sub1000_r05,startle,2007792,0.00,NA
k30M100p09_medium_sub1000_r01,startle,2018884,0.00,NA
k30M100p09_medium_sub1000_r02,startle,2022676,0.00,NA
k30M100p09_medium_sub1000_r03,startle,2043784,0.51,NA
k30M100p09_medium_sub1000_r04,startle,2021168,0.00,NA
k30M100p09_medium_sub1000_r05,startle,2033748,0.00,NA
k30M100p10_medium_sub1000_r01,startle,2024184,0.00,NA
k30M100p10_medium_sub1000_r02,startle,2025368,0.00,NA
k30M100p10_medium_sub1000_r03,startle,2008768,0.00,NA
k30M100p10_medium_sub1000_r04,startle,2022668,0.00,NA
k30M100p10_medium_sub1000_r05,startle,2037212,0.00,NA
k30M100p01_medium_sub5000_r01,startle,2602596,0.00,NA
k30M100p01_medium_sub5000_r02,startle,3715148,0.00,NA
k30M100p01_medium_sub5000_r03,startle,2607952,0.00,NA
k30M100p01_medium_sub5000_r04,startle,2614520,0.00,NA
k30M100p01_medium_sub5000_r05,startle,3635080,0.00,NA
k30M100p02_medium_sub5000_r01,startle,3646668,0.00,NA
k30M100p02_medium_sub5000_r02,startle,3784196,0.00,NA
k30M100p02_medium_sub5000_r03,startle,3627468,0.00,NA
k30M100p02_medium_sub5000_r04,startle,3748540,0.00,NA
k30M100p02_medium_sub5000_r05,startle,3787076,0.00,NA
k30M100p03_medium_sub5000_r01,startle,3782948,0.00,NA
k30M100p03_medium_sub5000_r02,startle,3620108,0.00,NA
k30M100p03_medium_sub5000_r03,startle,3693252,0.00,NA
k30M100p03_medium_sub5000_r04,startle,3699392,0.00,NA
k30M100p03_medium_sub5000_r05,startle,3776820,0.00,NA
k30M100p04_medium_sub5000_r01,startle,2698788,0.00,NA
k30M100p04_medium_sub5000_r02,startle,3701532,0.00,NA
k30M100p04_medium_sub5000_r03,startle,2688180,0.00,NA
k30M100p04_medium_sub5000_r04,startle,2708312,0.00,NA
k30M100p04_medium_sub5000_r05,startle,3661308,0.00,NA
k30M100p05_medium_sub5000_r01,startle,3667680,0.00,NA
k30M100p05_medium_sub5000_r02,startle,3666920,0.00,NA
k30M100p05_medium_sub5000_r03,startle,3601904,0.00,NA
k30M100p05_medium_sub5000_r04,startle,3631112,0.00,NA
k30M100p05_medium_sub5000_r05,startle,3715400,0.00,NA
k30M100p06_medium_sub5000_r01,startle,2674116,0.00,NA
k30M100p06_medium_sub5000_r02,startle,3786920,0.00,NA
k30M100p06_medium_sub5000_r03,startle,3676892,0.00,NA
k30M100p06_medium_sub5000_r04,startle,3729600,0.00,NA
k30M100p06_medium_sub5000_r05,startle,3682948,0.00,NA
k30M100p07_medium_sub5000_r01,startle,3681748,0.00,NA
k30M100p07_medium_sub5000_r02,startle,3695116,0.00,NA
k30M100p07_medium_sub5000_r03,startle,3773092,0.00,NA
k30M100p07_medium_sub5000_r04,startle,3824972,0.00,NA
k30M100p07_medium_sub5000_r05,startle,3736896,0.00,NA
k30M100p08_medium_sub5000_r01,startle,3663124,0.00,NA
k30M100p08_medium_sub5000_r02,startle,3549360,0.00,NA
k30M100p08_medium_sub5000_r03,startle,3632752,0.00,NA
k30M100p08_medium_sub5000_r04,startle,3728224,0.00,NA
k30M100p08_medium_sub5000_r05,startle,3734704,0.00,NA
k30M100p09_medium_sub5000_r01,startle,3643328,0.00,NA
k30M100p09_medium_sub5000_r02,startle,3925088,0.00,NA
k30M100p09_medium_sub5000_r03,startle,3676972,0.00,NA
k30M100p09_medium_sub5000_r04,startle,3954496,0.00,NA
k30M100p09_medium_sub5000_r05,startle,3748612,0.00,NA
k30M100p10_medium_sub5000_r01,startle,3661112,0.00,NA
k30M100p10_medium_sub5000_r02,startle,3655892,0.00,NA
k30M100p10_medium_sub5000_r03,startle,3626940,0.00,NA
k30M100p10_medium_sub5000_r04,startle,3709128,0.00,NA
k30M100p10_medium_sub5000_r05,startle,3612332,0.00,NA
k30M30p01_medium_sub250_r01,startle,1546996,89.06,54948
k30M30p01_medium_sub250_r02,startle,1555836,0.02,NA
k30M30p01_medium_sub250_r03,startle,1547508,89.91,46975
k30M30p01_medium_sub250_r04,startle,1548616,89.47,40477
k30M30p01_medium_sub250_r05,startle,1552540,0.02,NA
k30M30p02_medium_sub250_r01,startle,1546412,89.68,59480
k30M30p02_medium_sub250_r02,startle,1550704,89.62,48181
k30M30p02_medium_sub250_r03,startle,1549828,90.09,54789
k30M30p02_medium_sub250_r04,startle,1557720,0.01,NA
k30M30p02_medium_sub250_r05,startle,1543864,89.38,79158
k30M30p03_medium_sub250_r01,startle,1543864,90.05,67697
k30M30p03_medium_sub250_r02,startle,1546916,90.09,51837
k30M30p03_medium_sub250_r03,startle,1551700,0.03,NA
k30M30p03_medium_sub250_r04,startle,1551304,89.97,76665
k30M30p03_medium_sub250_r05,startle,1556808,90.28,62255
k30M30p04_medium_sub250_r01,startle,1551696,0.01,NA
k30M30p04_medium_sub250_r02,startle,1556584,0.02,NA
k30M30p04_medium_sub250_r03,startle,1549584,0.00,NA
k30M30p04_medium_sub250_r04,startle,1554592,0.00,NA
k30M30p04_medium_sub250_r05,startle,1544592,89.68,47115
k30M30p05_medium_sub250_r01,startle,1554492,89.71,71790
k30M30p05_medium_sub250_r02,startle,1554792,89.57,75428
k30M30p05_medium_sub250_r03,startle,1559696,0.00,NA
k30M30p05_medium_sub250_r04,startle,1547832,89.77,74164
k30M30p05_medium_sub250_r05,startle,1549616,89.55,49944
k30M30p06_medium_sub250_r01,startle,1548992,89.60,43022
k30M30p06_medium_sub250_r02,startle,1553892,0.02,NA
k30M30p06_medium_sub250_r03,startle,1544008,89.35,33318
k30M30p06_medium_sub250_r04,startle,1556472,89.06,47996
k30M30p06_medium_sub250_r05,startle,1550520,89.39,58437
k30M30p07_medium_sub250_r01,startle,1541284,90.06,56022
k30M30p07_medium_sub250_r02,startle,1555312,0.02,NA
k30M30p07_medium_sub250_r03,startle,1551532,89.81,55722
k30M30p07_medium_sub250_r04,startle,1544608,0.02,NA
k30M30p07_medium_sub250_r05,startle,1554068,0.00,NA
k30M30p08_medium_sub250_r01,startle,1544360,0.01,NA
k30M30p08_medium_sub250_r02,startle,1543444,0.01,NA
k30M30p08_medium_sub250_r03,startle,1551940,90.31,71787
k30M30p08_medium_sub250_r04,startle,1552780,0.02,NA
k30M30p08_medium_sub250_r05,startle,1549792,0.01,NA
k30M30p09_medium_sub250_r01,startle,1551364,90.15,70213
k30M30p09_medium_sub250_r02,startle,1544636,89.75,60891
k30M30p09_medium_sub250_r03,startle,1554488,90.12,71849
k30M30p09_medium_sub250_r04,startle,1555516,90.43,70461
k30M30p09_medium_sub250_r05,startle,1548368,0.02,NA
k30M30p10_medium_sub250_r01,startle,1551860,0.02,NA
k30M30p10_medium_sub250_r02,startle,1552292,89.70,72525
k30M30p10_medium_sub250_r03,startle,1545736,89.79,35576
k30M30p10_medium_sub250_r04,startle,1550012,89.65,80892
k30M30p10_medium_sub250_r05,startle,1549040,89.92,72366
k30M30p01_medium_sub500_r01,startle,1777796,0.00,NA
k30M30p01_medium_sub500_r02,startle,1765180,0.00,NA
k30M30p01_medium_sub500_r03,startle,1777788,0.00,NA
k30M30p01_medium_sub500_r04,startle,1759292,0.00,NA
k30M30p01_medium_sub500_r05,startle,1745792,0.00,NA
k30M30p02_medium_sub500_r01,startle,1756636,0.00,NA
k30M30p02_medium_sub500_r02,startle,1766376,0.00,NA
k30M30p02_medium_sub500_r03,startle,1749032,0.00,NA
k30M30p02_medium_sub500_r04,startle,1764508,0.09,NA
k30M30p02_medium_sub500_r05,startle,1764856,0.00,NA
k30M30p03_medium_sub500_r01,startle,1767344,0.00,NA
k30M30p03_medium_sub500_r02,startle,1770524,0.00,NA
k30M30p03_medium_sub500_r03,startle,1764916,0.00,NA
k30M30p03_medium_sub500_r04,startle,1768048,0.00,NA
k30M30p03_medium_sub500_r05,startle,1757204,0.12,NA
k30M30p04_medium_sub500_r01,startle,1789636,0.00,NA
k30M30p04_medium_sub500_r02,startle,1775092,0.00,NA
k30M30p04_medium_sub500_r03,startle,1707.50M,0.00,NA
k30M30p04_medium_sub500_r04,startle,1758660,0.12,NA
k30M30p04_medium_sub500_r05,startle,1763204,0.00,NA
k30M30p05_medium_sub500_r01,startle,1766196,0.00,NA
k30M30p05_medium_sub500_r02,startle,1750792,0.00,NA
k30M30p05_medium_sub500_r03,startle,1749936,0.00,NA
k30M30p05_medium_sub500_r04,startle,1751060,0.00,NA
k30M30p05_medium_sub500_r05,startle,1761768,0.09,NA
k30M30p06_medium_sub500_r01,startle,1755804,0.00,NA
k30M30p06_medium_sub500_r02,startle,1743040,0.00,NA
k30M30p06_medium_sub500_r03,startle,1745200,0.11,NA
k30M30p06_medium_sub500_r04,startle,1752600,0.00,NA
k30M30p06_medium_sub500_r05,startle,1785620,0.00,NA
k30M30p07_medium_sub500_r01,startle,1751768,0.11,NA
k30M30p07_medium_sub500_r02,startle,1759140,0.00,NA
k30M30p07_medium_sub500_r03,startle,1772172,0.00,NA
k30M30p07_medium_sub500_r04,startle,1773460,0.00,NA
k30M30p07_medium_sub500_r05,startle,1758040,0.00,NA
k30M30p08_medium_sub500_r01,startle,1757968,0.00,NA
k30M30p08_medium_sub500_r02,startle,1743816,0.00,NA
k30M30p08_medium_sub500_r03,startle,1746752,0.11,NA
k30M30p08_medium_sub500_r04,startle,1750588,0.09,NA
k30M30p08_medium_sub500_r05,startle,1730564,0.00,NA
k30M30p09_medium_sub500_r01,startle,1757932,0.00,NA
k30M30p09_medium_sub500_r02,startle,1763524,0.08,NA
k30M30p09_medium_sub500_r03,startle,1746140,0.00,NA
k30M30p09_medium_sub500_r04,startle,1756384,0.00,NA
k30M30p09_medium_sub500_r05,startle,1752168,0.00,NA
k30M30p10_medium_sub500_r01,startle,1753828,0.00,NA
k30M30p10_medium_sub500_r02,startle,1761592,0.09,NA
