model_condition,method,memory_kb,cpu_percent,runtime_seconds
k30M100p08_medium_sub1000_r02,greedy,2500,50.00,0
k30M100p08_medium_sub1000_r03,greedy,2496,50.00,0
k30M100p08_medium_sub1000_r04,greedy,1664,50.00,0
k30M100p08_medium_sub1000_r05,greedy,2500,50.00,0
k30M100p09_medium_sub1000_r01,greedy,2500,50.00,0
k30M100p09_medium_sub1000_r02,greedy,2496,41.67,0
k30M100p09_medium_sub1000_r03,greedy,2500,50.00,0
k30M100p09_medium_sub1000_r04,greedy,2500,50.00,0
k30M100p09_medium_sub1000_r05,greedy,2500,50.00,0
k30M100p10_medium_sub1000_r01,greedy,2500,50.00,0
k30M100p10_medium_sub1000_r02,greedy,2496,50.00,0
k30M100p10_medium_sub1000_r03,greedy,2500,50.00,0
k30M100p10_medium_sub1000_r04,greedy,2500,50.00,0
k30M100p10_medium_sub1000_r05,greedy,2496,50.00,0
k30M100p01_medium_sub5000_r01,greedy,314140,50.00,0
k30M100p01_medium_sub5000_r02,greedy,314520,50.00,0
k30M100p01_medium_sub5000_r03,greedy,312936,49.07,0
k30M100p01_medium_sub5000_r04,greedy,313272,49.09,0
k30M100p01_medium_sub5000_r05,greedy,313556,49.09,0
k30M100p02_medium_sub5000_r01,greedy,347380,49.17,1
k30M100p02_medium_sub5000_r02,greedy,334464,49.17,1
k30M100p02_medium_sub5000_r03,greedy,312232,50.00,0
k30M100p02_medium_sub5000_r04,greedy,341100,49.18,1
k30M100p02_medium_sub5000_r05,greedy,314732,49.17,1
k30M100p03_medium_sub5000_r01,greedy,314528,48.68,0
k30M100p03_medium_sub5000_r02,greedy,308M,48.78,0
k30M100p03_medium_sub5000_r03,greedy,314932,48.75,0
k30M100p03_medium_sub5000_r04,greedy,315376,48.75,0
k30M100p03_medium_sub5000_r05,greedy,313436,48.75,0
k30M100p04_medium_sub5000_r01,greedy,315284,50.00,0
k30M100p04_medium_sub5000_r02,greedy,315356,50.00,0
k30M100p04_medium_sub5000_r03,greedy,317920,48.53,0
k30M100p04_medium_sub5000_r04,greedy,316000,50.00,0
k30M100p04_medium_sub5000_r05,greedy,316392,50.00,0
k30M100p05_medium_sub5000_r01,greedy,314840,50.00,0
k30M100p05_medium_sub5000_r02,greedy,314940,50.00,0
k30M100p05_medium_sub5000_r03,greedy,314112,48.68,0
k30M100p05_medium_sub5000_r04,greedy,313760,50.00,0
k30M100p05_medium_sub5000_r05,greedy,314260,48.65,0
k30M100p06_medium_sub5000_r01,greedy,314844,50.00,0
k30M100p06_medium_sub5000_r02,greedy,313296,48.61,0
k30M100p06_medium_sub5000_r03,greedy,314576,48.61,0
k30M100p06_medium_sub5000_r04,greedy,315384,50.00,0
k30M100p06_medium_sub5000_r05,greedy,313756,48.68,0
k30M100p07_medium_sub5000_r01,greedy,315276,48.61,0
k30M100p07_medium_sub5000_r02,greedy,315532,48.61,0
